Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
3,17,3,1,0.176470588235294,0.0588235294117647
4,25,8,0,0.44,0.32
5,23,7,0,0.434782608695652,0.304347826086957
7,23,7,0,0.434782608695652,0.304347826086957
8,21,7,0,0.428571428571429,0.333333333333333
14,25,5,0,0.44,0.2
15,19,4,0,0.315789473684211,0.210526315789474
19,15,1,0,0.2,0.0666666666666667
21,23,1,0,0.434782608695652,0.0434782608695652
23,21,1,0,0.428571428571429,0.0476190476190476
26,21,4,0,0.428571428571429,0.19047619047619
27,19,1,0,0.473684210526316,0.0526315789473684
3,25,8,0,0.44,0.32
6,23,7,0,0.434782608695652,0.304347826086957
8,23,1,0,0.173913043478261,0.0434782608695652
10,17,3,0,0.470588235294118,0.176470588235294
14,25,2,0,0.32,0.08
18,17,1,0,0.176470588235294,0.0588235294117647
24,17,1,0,0.470588235294118,0.0588235294117647
29,21,4,0,0.333333333333333,0.19047619047619
31,19,1,0,0.315789473684211,0.0526315789473684
32,21,4,0,0.333333333333333,0.19047619047619
33,19,1,0,0.473684210526316,0.0526315789473684
35,21,4,0,0.333333333333333,0.19047619047619
