Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
4,21,7,1,0.333333333333333,0.19047619047619
10,23,4,1,0.173913043478261,0.0434782608695652
15,23,7,1,0.304347826086957,0.173913043478261
16,21,9,1,0.428571428571429,0.19047619047619
17,17,8,1,0.470588235294118,0.176470588235294
21,17,3,1,0.176470588235294,0.0588235294117647
24,21,4,1,0.19047619047619,0.0476190476190476
25,19,9,1,0.473684210526316,0.0526315789473684
26,17,8,1,0.470588235294118,0.0588235294117647
27,19,9,1,0.473684210526316,0.315789473684211
32,23,10,1,0.434782608695652,0.0434782608695652
36,23,10,1,0.434782608695652,0.173913043478261
