Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,23,1,0,0.304347826086957,0.0434782608695652
3,25,5,0,0.44,0.2
4,23,4,0,0.304347826086957,0.173913043478261
9,23,1,0,0.173913043478261,0.0434782608695652
10,25,2,0,0.32,0.08
12,17,1,0,0.470588235294118,0.0588235294117647
15,21,1,0,0.428571428571429,0.0476190476190476
20,15,5,0,0.466666666666667,0.333333333333333
22,15,1,0,0.2,0.0666666666666667
30,15,3,0,0.333333333333333,0.2
31,25,5,0,0.32,0.2
34,17,1,0,0.470588235294118,0.0588235294117647
1,19,1,0,0.210526315789474,0.0526315789473684
3,25,8,0,0.44,0.32
12,19,1,0,0.473684210526316,0.0526315789473684
13,19,4,0,0.315789473684211,0.210526315789474
14,19,1,0,0.315789473684211,0.0526315789473684
17,23,1,0,0.434782608695652,0.0434782608695652
18,17,5,0,0.470588235294118,0.294117647058824
20,17,1,0,0.176470588235294,0.0588235294117647
23,23,4,0,0.434782608695652,0.173913043478261
25,23,4,0,0.434782608695652,0.173913043478261
30,15,1,0,0.466666666666667,0.0666666666666667
