Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
7,23,10,1,10,0.434782608695652
8,19,4,1,4,0.210526315789474
9,25,8,1,8,0.32
10,25,8,1,8,0.32
12,19,9,1,9,0.473684210526316
16,15,7,1,7,0.466666666666667
17,21,7,1,7,0.333333333333333
19,19,6,1,6,0.315789473684211
28,15,1,1,1,0.0666666666666667
35,25,8,1,8,0.32
1,21,9,1,9,0.428571428571429
5,23,7,1,7,0.304347826086957
6,25,5,1,5,0.2
8,17,1,1,1,0.0588235294117647
9,25,11,1,11,0.44
11,19,6,1,6,0.315789473684211
14,19,9,1,9,0.473684210526316
22,25,8,1,8,0.32
28,23,1,1,1,0.0434782608695652
33,19,9,1,9,0.473684210526316
36,21,4,1,4,0.19047619047619
