Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,25,8,0,0.44,0.32
4,21,9,1,0.428571428571429,0.0476190476190476
7,17,1,0,0.294117647058824,0.0588235294117647
9,15,3,0,0.333333333333333,0.2
11,21,7,0,0.428571428571429,0.333333333333333
19,19,6,1,0.315789473684211,0.0526315789473684
23,23,4,0,0.304347826086957,0.173913043478261
24,21,4,0,0.333333333333333,0.19047619047619
26,25,5,1,0.2,0.08
32,25,8,0,0.44,0.32
33,23,10,1,0.434782608695652,0.0434782608695652
36,15,1,0,0.466666666666667,0.0666666666666667
