Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
3,23,7,1,0.304347826086957,0.173913043478261
5,19,9,1,0.473684210526316,0.0526315789473684
10,23,7,1,0.304347826086957,0.173913043478261
14,23,10,1,0.434782608695652,0.173913043478261
16,17,8,1,0.470588235294118,0.0588235294117647
20,23,7,1,0.304347826086957,0.0434782608695652
24,17,5,1,0.294117647058824,0.176470588235294
29,15,7,1,0.466666666666667,0.333333333333333
31,19,4,1,0.210526315789474,0.0526315789473684
32,21,9,1,0.428571428571429,0.19047619047619
33,23,10,1,0.434782608695652,0.173913043478261
35,15,7,1,0.466666666666667,0.333333333333333
