Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
5,17,3,1,0.176470588235294,0.0588235294117647
6,17,3,1,0.176470588235294,0.0588235294117647
11,17,5,1,0.294117647058824,0.176470588235294
13,23,10,1,0.434782608695652,0.0434782608695652
14,21,7,1,0.333333333333333,0.19047619047619
17,19,6,0,0.473684210526316,0.315789473684211
19,15,5,1,0.333333333333333,0.0666666666666667
29,23,7,1,0.304347826086957,0.0434782608695652
30,25,8,1,0.32,0.2
32,21,4,0,0.428571428571429,0.19047619047619
36,19,9,1,0.473684210526316,0.0526315789473684
