Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,15,5,1,0.333333333333333,0.2
8,23,10,1,0.434782608695652,0.0434782608695652
14,21,7,1,0.333333333333333,0.19047619047619
18,25,5,1,0.2,0.08
22,25,2,0,0.32,0.08
23,17,5,1,0.294117647058824,0.176470588235294
25,25,8,0,0.44,0.32
27,23,1,0,0.304347826086957,0.0434782608695652
30,23,1,0,0.304347826086957,0.0434782608695652
31,23,7,1,0.304347826086957,0.0434782608695652
34,23,10,1,0.434782608695652,0.304347826086957
36,21,9,1,0.428571428571429,0.19047619047619
