Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
7,17,5,0,0.470588235294118,0.294117647058824
12,15,3,0,0.466666666666667,0.2
13,17,1,0,0.470588235294118,0.0588235294117647
15,17,5,0,0.470588235294118,0.294117647058824
17,17,1,0,0.176470588235294,0.0588235294117647
18,17,5,0,0.470588235294118,0.294117647058824
22,21,1,0,0.428571428571429,0.0476190476190476
23,17,5,0,0.470588235294118,0.294117647058824
25,19,4,0,0.315789473684211,0.210526315789474
30,15,3,0,0.333333333333333,0.2
33,25,2,0,0.44,0.08
35,15,5,0,0.466666666666667,0.333333333333333
7,17,5,0,0.470588235294118,0.294117647058824
8,23,4,0,0.434782608695652,0.173913043478261
9,25,8,0,0.44,0.32
14,15,1,0,0.466666666666667,0.0666666666666667
16,17,3,0,0.470588235294118,0.176470588235294
18,15,3,0,0.333333333333333,0.2
20,23,7,0,0.434782608695652,0.304347826086957
28,17,3,0,0.294117647058824,0.176470588235294
30,17,1,0,0.294117647058824,0.0588235294117647
32,25,2,0,0.32,0.08
33,17,1,0,0.176470588235294,0.0588235294117647
35,25,2,0,0.44,0.08
