Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,17,5,0,0.470588235294118,0.294117647058824
3,25,8,1,0.32,0.2
4,17,8,1,0.470588235294118,0.176470588235294
7,21,9,1,0.428571428571429,0.19047619047619
11,23,10,1,0.434782608695652,0.0434782608695652
16,21,7,1,0.333333333333333,0.0476190476190476
23,21,7,1,0.333333333333333,0.19047619047619
28,19,9,1,0.473684210526316,0.315789473684211
29,21,4,1,0.19047619047619,0.0476190476190476
32,15,3,1,0.2,0.0666666666666667
33,23,7,1,0.304347826086957,0.0434782608695652
34,21,7,1,0.333333333333333,0.19047619047619
