Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
1,21,4,1,4,0.19047619047619
6,23,7,1,7,0.304347826086957
9,25,2,1,2,0.08
13,23,10,1,10,0.434782608695652
16,23,4,1,4,0.173913043478261
17,23,1,1,1,0.0434782608695652
24,21,9,1,9,0.428571428571429
29,19,1,1,1,0.0526315789473684
31,19,6,1,6,0.315789473684211
33,23,1,1,1,0.0434782608695652
34,19,4,1,4,0.210526315789474
36,23,7,1,7,0.304347826086957
1,19,1,1,1,0.0526315789473684
11,23,4,1,4,0.173913043478261
16,23,10,1,10,0.434782608695652
17,19,9,1,9,0.473684210526316
19,23,1,1,1,0.0434782608695652
20,23,7,1,7,0.304347826086957
22,21,7,1,7,0.333333333333333
25,21,4,1,4,0.19047619047619
26,25,2,1,2,0.08
27,23,4,1,4,0.173913043478261
28,23,7,1,7,0.304347826086957
36,21,1,1,1,0.0476190476190476
