Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,23,10,1,0.434782608695652,0.0434782608695652
4,19,9,1,0.473684210526316,0.0526315789473684
5,23,10,1,0.434782608695652,0.0434782608695652
7,23,10,1,0.434782608695652,0.304347826086957
8,23,4,1,0.173913043478261,0.0434782608695652
10,15,7,1,0.466666666666667,0.2
15,21,9,1,0.428571428571429,0.0476190476190476
23,21,7,1,0.333333333333333,0.0476190476190476
29,19,9,1,0.473684210526316,0.315789473684211
30,21,9,1,0.428571428571429,0.19047619047619
33,25,5,1,0.2,0.08
36,15,7,1,0.466666666666667,0.333333333333333
