Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
4,19,4,1,0.210526315789474,0.0526315789473684
7,19,4,0,0.473684210526316,0.210526315789474
15,23,4,0,0.304347826086957,0.173913043478261
16,15,3,1,0.2,0.0666666666666667
19,21,9,1,0.428571428571429,0.0476190476190476
20,23,10,1,0.434782608695652,0.0434782608695652
22,19,9,1,0.473684210526316,0.315789473684211
26,23,4,1,0.173913043478261,0.0434782608695652
28,21,4,1,0.19047619047619,0.0476190476190476
29,23,7,1,0.304347826086957,0.0434782608695652
33,25,8,1,0.32,0.08
35,17,3,1,0.176470588235294,0.0588235294117647
3,23,4,1,0.173913043478261,0.0434782608695652
9,21,4,1,0.19047619047619,0.0476190476190476
11,15,1,0,0.2,0.0666666666666667
12,21,1,0,0.19047619047619,0.0476190476190476
13,23,10,1,0.434782608695652,0.173913043478261
14,19,9,1,0.473684210526316,0.0526315789473684
21,23,4,0,0.304347826086957,0.173913043478261
22,19,9,1,0.473684210526316,0.0526315789473684
23,19,6,1,0.315789473684211,0.210526315789474
25,25,5,1,0.2,0.08
27,17,5,1,0.294117647058824,0.0588235294117647
35,25,5,0,0.44,0.2
