Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
4,17,3,1,3,0.176470588235294
6,25,5,1,5,0.2
8,21,9,1,9,0.428571428571429
10,21,7,1,7,0.333333333333333
16,17,5,1,5,0.294117647058824
19,19,6,1,6,0.315789473684211
20,21,4,1,4,0.19047619047619
21,15,3,1,3,0.2
28,19,1,1,1,0.0526315789473684
34,17,3,1,3,0.176470588235294
35,17,8,1,8,0.470588235294118
36,15,1,1,1,0.0666666666666667
3,23,10,1,10,0.434782608695652
6,23,10,1,10,0.434782608695652
7,19,1,1,1,0.0526315789473684
10,17,5,1,5,0.294117647058824
11,15,3,1,3,0.2
14,19,1,1,1,0.0526315789473684
18,15,5,1,5,0.333333333333333
19,17,3,1,3,0.176470588235294
23,19,1,1,1,0.0526315789473684
26,19,6,1,6,0.315789473684211
27,17,3,1,3,0.176470588235294
36,15,1,1,1,0.0666666666666667
