Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
8,15,5,1,5,0.333333333333333
14,17,5,1,5,0.294117647058824
16,15,5,1,5,0.333333333333333
22,19,6,1,6,0.315789473684211
29,19,4,1,4,0.210526315789474
30,25,11,1,11,0.44
31,21,7,1,7,0.333333333333333
33,21,9,1,9,0.428571428571429
36,25,11,1,11,0.44
3,19,9,1,9,0.473684210526316
9,19,4,1,4,0.210526315789474
14,15,3,1,3,0.2
18,23,7,1,7,0.304347826086957
20,23,10,1,10,0.434782608695652
22,19,4,1,4,0.210526315789474
27,23,10,1,10,0.434782608695652
35,15,5,1,5,0.333333333333333
