Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,21,4,1,0.19047619047619,0.0476190476190476
5,19,6,0,0.473684210526316,0.315789473684211
6,21,4,1,0.19047619047619,0.0476190476190476
7,19,6,1,0.315789473684211,0.0526315789473684
8,15,7,1,0.466666666666667,0.2
15,25,5,0,0.32,0.2
16,15,1,0,0.466666666666667,0.0666666666666667
17,19,6,0,0.473684210526316,0.315789473684211
19,21,7,1,0.333333333333333,0.0476190476190476
25,23,4,1,0.173913043478261,0.0434782608695652
31,17,1,0,0.294117647058824,0.0588235294117647
