LotisLeft,Lot_per,Lot_mon,Lot_color,Sure_mon,dist,response,RT
0,90,13,blue,5,Skew,['j'],3.1229119999916293
0,80,13,blue,5,Skew,['j'],1.4206725000112783
0,60,13,blue,5,Skew,['j'],1.0865353999834042
1,90,13,blue,5,Skew,['f'],2.235198300011689
0,70,13,blue,5,Skew,['f'],0.9538035999867134
1,70,13,blue,5,Skew,['f'],0.8573187000001781
0,60,13,blue,5,Skew,['f'],0.8485538999957498
0,80,13,blue,5,Skew,['f'],0.6578857999993488
1,70,13,blue,5,Skew,['j'],1.1526426999771502
1,80,13,blue,5,Skew,['f'],0.7688115000200924
0,70,13,blue,5,Skew,['j'],0.6592973000078928
1,80,13,blue,5,Skew,['f'],0.5746856000041589
1,80,13,blue,5,Skew,['f'],0.6689042999933008
0,100,13,blue,5,Skew,['j'],1.0428744000091683
1,80,13,blue,5,Skew,['f'],1.44159609999042
1,90,13,blue,5,Skew,['f'],0.9894637999823317
1,100,13,blue,5,Skew,['f'],0.7924227000039537
0,90,13,blue,5,Skew,['j'],0.7519319000130054
1,80,13,blue,5,Skew,['f'],1.0536745999997947
0,80,13,blue,5,Skew,['j'],0.5572328999987803
1,0,13,green,5,wide,['j'],1.1647854000038933
1,0,13,green,5,wide,['j'],0.6101081999950111
1,90,13,green,5,wide,['j'],0.8416620999923907
1,10,13,green,5,wide,['j'],0.7018987000046764
1,0,13,green,5,wide,['j'],0.566365600010613
1,10,13,green,5,wide,['f'],0.6450836000149138
0,100,13,green,5,wide,['j'],0.8265425999998115
1,100,13,green,5,wide,['f'],0.6187182000139728
0,100,13,green,5,wide,['f'],0.46413370000664145
0,90,13,green,5,wide,['j'],0.3707173000148032
0,10,13,green,5,wide,['j'],0.6987650000082795
1,20,13,green,5,wide,['j'],0.659344300016528
0,100,13,green,5,wide,['j'],0.5732940000016242
0,90,13,green,5,wide,['j'],0.5839623999781907
1,0,13,green,5,wide,['j'],0.5416139999870211
0,80,13,green,5,wide,['j'],0.5791605999984313
0,80,13,green,5,wide,['j'],0.8055215000058524
0,20,13,green,5,wide,['f'],1.573217500001192
0,90,13,green,5,wide,['j'],0.6671182000136469
1,10,13,green,5,wide,['j'],0.3027523999917321
1,50,13,red,5,Narrow,['j'],1.2109857999894302
0,50,13,red,5,Narrow,['j'],0.4481255999999121
0,60,13,red,5,Narrow,['f'],0.7365572999988217
1,40,13,red,5,Narrow,['j'],0.7404791000008117
0,50,13,red,5,Narrow,['j'],0.4953529000049457
1,30,13,red,5,Narrow,['j'],0.6442033000057563
1,60,13,red,5,Narrow,['j'],0.7335689000028651
1,60,13,red,5,Narrow,['j'],0.4627332999953069
1,50,13,red,5,Narrow,['j'],0.46624310000333935
0,50,13,red,5,Narrow,['j'],0.40272390001337044
0,40,13,red,5,Narrow,['j'],0.3850716000015382
0,40,13,red,5,Narrow,['j'],0.7832275000109803
0,70,13,red,5,Narrow,['j'],0.46937909998814575
0,40,13,red,5,Narrow,['j'],0.3414204000146128
1,60,13,red,5,Narrow,['j'],0.4027475999901071
0,70,13,red,5,Narrow,['j'],0.6993312999838963
1,50,13,red,5,Narrow,['j'],0.8109880000120029
1,50,13,red,5,Narrow,['f'],0.3601460999925621
1,50,13,red,5,Narrow,['j'],0.5202895000111312
0,30,13,red,5,Narrow,['j'],0.44109890001709573
