TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
1,1,2,15,6,0.5,3,7,1.0,0.0,6.0033026,6.020069,6.0203357,6.537628,6.537815,2.0,1.1824285,7.720244,8.236753,1.6994745,8.237453,14.240393,--
2,2,1,25,2,0.5,11,8,1.0,1.0,16.235598,16.252441,16.252602,16.768368,16.76851,2.0,0.011726799,16.780237,17.28668,0.5185432,17.287188,19.290106,--
3,3,3,17,8,2,3,8,1.0,2.0,21.285,21.301476,21.301544,23.318436,23.318575,3.0,0.849673,24.168247,24.684889,1.3666795,24.685389,32.688343,19.293125
4,4,3,19,2,2,9,6,1.0,3.0,34.68343,34.700146,34.700214,36.717613,36.717754,3.0,1.5654979,38.283253,38.800053,2.082685,38.800594,40.802822,32.691246
5,5,1,25,2,2,8,5,1.0,4.0,42.79907,42.815804,42.815956,44.832542,44.832687,2.0,1.6163397,46.449028,46.96517,2.1329055,46.96573,48.968765,--
6,6,2,17,4,3.5,5,8,1.0,5.0,50.964878,50.98146,50.98163,54.498585,54.498726,2.0,1.3824093,55.881134,56.39805,1.8996938,56.398556,60.401844,--
7,7,3,25,2,3.5,8,5,1.0,6.0,62.397095,62.413723,62.41381,65.93045,65.930595,3.0,1.415894,67.34649,67.862854,1.9326285,67.86342,69.866455,60.40328
8,8,2,19,2,0.5,9,1,1.0,7.0,71.86245,71.87905,71.87927,72.39567,72.39581,3.0,3.083132,75.47894,75.99552,3.600083,75.99603,77.99912,--
9,9,1,21,4,2,9,4,1.0,8.0,79.99491,80.01167,80.01185,82.027176,82.02731,2.0,2.4011047,84.42842,84.944824,2.9178822,84.945335,88.94792,--
10,10,1,23,4,0.5,1,4,1.0,9.0,90.94386,90.96039,90.96065,91.47676,91.476906,3.0,1.8166668,93.29357,93.81034,2.333845,93.81088,97.81416,--
11,11,3,25,2,0.5,8,11,1.0,10.0,99.809494,99.82656,99.82662,100.34267,100.342804,3.0,0.9831174,101.32592,101.842476,1.5000552,101.843,103.84598,97.816284
12,12,1,15,2,0.5,3,5,1.0,11.0,105.84199,105.85867,105.85883,106.374954,106.37513,3.0,2.8342943,109.20943,109.72566,3.3509068,109.72617,111.72974,--
13,13,3,25,2,0.5,11,2,1.0,12.0,113.724724,113.74121,113.74128,114.25803,114.25817,3.0,0.7665122,115.02469,115.54075,1.2829494,115.54127,117.543755,111.73124
14,14,1,19,8,0.5,9,4,1.0,13.0,119.54055,119.5569,119.55706,120.07363,120.07392,2.0,0.9500957,121.02402,121.53964,1.4660877,121.54014,129.54259,--
15,15,3,17,4,0.5,8,3,1.0,14.0,131.53915,131.55591,131.55598,132.0728,132.07295,3.0,0.9495637,133.02252,133.53879,1.4662322,133.53932,137.54205,129.54501
16,16,3,15,2,2,1,3,1.0,15.0,139.53854,139.55504,139.55511,141.57147,141.57162,3.0,1.2174983,142.78912,143.30435,1.7331201,143.30489,145.30869,137.54446
17,17,1,23,4,0.5,4,1,1.0,16.0,147.30383,147.32066,147.32083,147.83717,147.83731,2.0,2.7498546,150.58716,151.10342,3.2664924,151.10397,155.10771,--
18,18,3,17,2,0.5,3,5,1.0,17.0,157.103,157.11946,157.11954,157.63603,157.63617,3.0,1.134346,158.77051,159.28603,1.6502326,159.28658,161.29019,155.10918
19,19,2,17,4,0.5,1,5,1.0,18.0,163.28535,163.3021,163.3023,163.81816,163.81831,2.0,1.7343698,165.55269,166.06897,2.2510538,166.06952,170.07285,--
20,20,1,25,6,2,5,8,1.0,19.0,172.06802,172.08441,172.08458,174.1007,174.10083,3.0,2.7830617,176.8839,177.40092,3.3004756,177.40144,183.40536,--
21,21,2,23,6,2,1,10,1.0,20.0,185.39948,185.4162,185.41637,187.43283,187.43297,2.0,1.1330895,188.56606,189.08304,1.6504374,189.08359,195.08664,--
22,22,2,15,6,0.5,1,7,1.0,21.0,197.08139,197.09782,197.09804,197.614,197.61414,3.0,0.7842344,198.39838,198.91432,1.3005593,198.91492,204.91916,--
23,23,1,17,8,3.5,5,8,1.0,22.0,206.91322,206.93013,206.93028,210.44615,210.4463,3.0,5.5168533,215.96315,216.47844,6.03252,216.47897,224.48271,--
24,24,3,15,2,0.5,7,3,1.0,23.0,226.47836,226.49481,226.49487,227.01108,227.01122,3.0,1.4998387,228.51106,229.02766,2.0168152,229.02824,231.03146,224.48529
25,25,2,17,2,0.5,3,1,1.0,24.0,233.02798,233.04404,233.04431,233.56084,233.56099,3.0,1.9496773,235.51067,236.02634,2.4657173,236.02684,238.03018,--
26,26,2,19,4,2,1,4,1.0,25.0,240.02623,240.04277,240.04294,242.06009,242.06024,2.0,4.2662053,246.32645,246.8425,4.7827063,246.8431,250.84633,--
27,27,3,15,2,0.5,3,1,1.0,26.0,252.83914,252.85838,252.85846,253.37418,253.37431,3.0,3.9339073,257.30823,257.82486,4.4509296,257.82538,259.82858,250.84848
28,28,2,15,2,0.5,5,3,1.0,27.0,261.82407,261.84073,261.8409,262.35672,262.35687,3.0,2.0671206,264.42398,264.9402,2.5836914,264.94067,266.94443,--
29,29,1,25,2,2,2,8,1.0,28.0,268.94,268.95688,268.9571,270.9737,270.97385,3.0,2.5338712,273.50772,274.02243,3.048971,274.02295,276.0253,--
30,30,1,25,2,3.5,8,2,1.0,29.0,278.0222,278.03885,278.03906,281.5551,281.55527,2.0,3.0003965,284.55566,285.07156,3.5167513,285.07214,287.07578,--
31,31,2,17,4,3.5,5,1,1.0,30.0,289.07047,289.08774,289.08792,292.6046,292.60474,3.0,3.4337585,296.0385,296.55423,3.9498541,296.55472,300.5583,--
32,32,3,15,6,3.5,1,5,1.0,31.0,302.55252,302.56924,302.5693,306.0853,306.08545,3.0,1.7503256,307.83575,308.35254,2.2674692,308.35306,314.3557,300.56052
33,33,3,15,2,2,3,5,1.0,32.0,316.3509,316.3675,316.36758,318.38422,318.38437,3.0,0.8166622,319.20105,319.71732,1.3333462,319.71786,321.72116,314.35864
34,34,1,19,4,0.5,9,1,1.0,33.0,323.71725,323.73328,323.73346,324.2507,324.25085,2.0,1.249446,325.5003,326.0175,1.7669935,326.01797,330.02136,--
35,35,2,17,4,0.5,3,8,1.0,34.0,332.01602,332.03262,332.0328,332.5496,332.54974,2.0,1.117333,333.66705,334.18158,1.6322302,334.1821,338.185,--
36,36,2,25,2,0.5,11,8,1.0,35.0,340.18164,340.19833,340.1985,340.7151,340.71524,3.0,1.2496808,341.9649,342.48193,1.7670823,342.48245,344.48593,--
