LotisLeft,Lot_per,Lot_mon,Lot_color,Sure_mon,dist,response,RT
0,40,13,blue,5,Narrow,['f'],2.1793045999947935
0,60,13,blue,5,Narrow,['j'],1.3969999998807907
1,70,13,blue,5,Narrow,['f'],1.9058009998407215
1,50,13,blue,5,Narrow,['f'],1.8313221000134945
1,50,13,blue,5,Narrow,['f'],0.9781698000151664
1,60,13,blue,5,Narrow,['f'],0.9333751001395285
1,60,13,blue,5,Narrow,['f'],0.8450204997789115
0,40,13,blue,5,Narrow,['f'],3.8621904999017715
1,50,13,blue,5,Narrow,['f'],1.2693874998949468
0,50,13,blue,5,Narrow,['j'],0.9746719000395387
1,40,13,blue,5,Narrow,['j'],2.422842999920249
0,50,13,blue,5,Narrow,['j'],1.0353336001280695
0,70,13,blue,5,Narrow,['j'],0.8563423999585211
1,30,13,blue,5,Narrow,['j'],1.048064799979329
0,50,13,blue,5,Narrow,['j'],0.9393233000300825
1,50,13,blue,5,Narrow,['f'],0.6658781999722123
0,30,13,blue,5,Narrow,['f'],1.1201860001310706
1,40,13,blue,5,Narrow,['j'],0.8366102001164109
0,50,13,blue,5,Narrow,['j'],1.46454990003258
0,60,13,blue,5,Narrow,['j'],1.0893631000071764
1,90,13,green,5,wide,['f'],1.6398035001475364
1,20,13,green,5,wide,['j'],1.9215146000497043
0,0,13,green,5,wide,['f'],1.7070098998956382
1,90,13,green,5,wide,['f'],1.2566786999814212
0,80,13,green,5,wide,['j'],1.1467850001063198
1,10,13,green,5,wide,['j'],1.0563270999118686
0,90,13,green,5,wide,['j'],0.9407038998324424
0,100,13,green,5,wide,['j'],0.8790504999924451
1,10,13,green,5,wide,['j'],0.7792602998670191
1,0,13,green,5,wide,['j'],0.6378835998475552
1,0,13,green,5,wide,['j'],0.6853370000608265
0,100,13,green,5,wide,['j'],0.7201347001828253
0,100,13,green,5,wide,['j'],0.6312415001448244
0,80,13,green,5,wide,['j'],0.7138454001396894
0,100,13,green,5,wide,['j'],0.6998165999539196
0,0,13,green,5,wide,['f'],1.0153672001324594
1,10,13,green,5,wide,['j'],1.1377675000112504
1,10,13,green,5,wide,['j'],1.0873102999757975
0,90,13,green,5,wide,['j'],1.127992699854076
1,20,13,green,5,wide,['j'],1.3840053998865187
1,100,13,red,5,Skew,['f'],2.255899399984628
0,80,13,red,5,Skew,['j'],1.5144214001484215
1,80,13,red,5,Skew,['f'],1.5995133998803794
0,60,13,red,5,Skew,['j'],1.568177499808371
0,90,13,red,5,Skew,['j'],0.6754676001146436
1,100,13,red,5,Skew,['f'],0.8391799000091851
1,70,13,red,5,Skew,['f'],1.053275499958545
0,80,13,red,5,Skew,['j'],0.9185826000757515
1,90,13,red,5,Skew,['f'],0.6518264000769705
1,60,13,red,5,Skew,['f'],0.8410168997943401
0,90,13,red,5,Skew,['j'],0.7108452999964356
0,70,13,red,5,Skew,['j'],0.5863117999397218
0,80,13,red,5,Skew,['j'],0.7563378000631928
0,80,13,red,5,Skew,['j'],0.9319551999215037
0,80,13,red,5,Skew,['j'],0.5082177999429405
1,80,13,red,5,Skew,['f'],0.43546349997632205
0,70,13,red,5,Skew,['j'],0.6414749000687152
1,80,13,red,5,Skew,['f'],0.6039034998975694
1,90,13,red,5,Skew,['f'],1.2222523000091314
1,70,13,red,5,Skew,['f'],1.1313070999458432
