onset	trial_type	duration	response_time	endowment	trial_Duration	nTrial	L_Option	R_Option	Response
4.020617	3	1.287802	0.77350885	21	1.287802	1	9	0	3.0
--	2	1.4832163	0.9651597	25	1.4832163	2	8	11	2.0
--	2	1.718208	1.2006325	23	1.718208	3	4	10	3.0
--	2	0.533999	0.015091698	23	0.533999	4	1	10	2.0
--	1	0.549638	0.03101681	23	0.549638	5	1	7	3.0
--	1	1.4006613	0.88228846	19	1.4006613	6	6	1	3.0
--	2	--	--	19	--	7	1	4	--
--	1	--	--	21	--	8	9	4	--
--	3	--	--	25	--	9	1	0	--
--	2	--	--	19	--	10	6	4	--
--	1	--	--	15	--	11	3	7	--
--	3	--	--	21	--	12	3	0	--
--	1	--	--	17	--	13	1	5	--
--	1	--	--	21	--	14	9	4	--
--	2	--	--	15	--	15	3	5	--
--	2	--	--	19	--	16	6	9	--
--	3	--	--	23	--	17	10	0	--
--	1	--	--	19	--	18	9	1	--
--	2	--	--	25	--	19	5	2	--
--	2	--	--	17	--	20	8	5	--
--	1	--	--	19	--	21	1	4	--
--	3	--	--	19	--	22	1	0	--
--	3	--	--	19	--	23	3	0	--
--	3	--	--	23	--	24	1	0	--
--	3	--	--	25	--	25	9	0	--
--	1	--	--	19	--	26	6	4	--
--	2	--	--	17	--	27	8	1	--
--	3	--	--	15	--	28	4	0	--
--	2	--	--	17	--	29	3	5	--
--	1	--	--	23	--	30	7	1	--
--	1	--	--	19	--	31	1	9	--
--	3	--	--	19	--	32	7	0	--
--	1	--	--	25	--	33	11	8	--
--	3	--	--	15	--	34	4	0	--
--	2	--	--	23	--	35	4	1	--
--	3	--	--	23	--	36	3	0	--
cue_Onset	Block	trialDuration	rt	Endowment	trialDuration	nTrial	L_Option	R_Option	resp
4.0247936	3	1.1003443	0.5853462	21	1.1003443	1	9	0	2.0
--	2	0.5503089	0.032459296	25	0.5503089	2	8	11	2.0
--	2	1.3003706	0.7872105	23	1.3003706	3	4	10	3.0
--	2	1.3679625	0.8531897	23	1.3679625	4	1	10	3.0
--	1	--	--	23	--	5	1	7	--
--	1	--	--	19	--	6	6	1	--
--	2	--	--	19	--	7	1	4	--
--	1	--	--	21	--	8	9	4	--
--	3	--	--	25	--	9	1	0	--
--	2	--	--	19	--	10	6	4	--
--	1	--	--	15	--	11	3	7	--
--	3	--	--	21	--	12	3	0	--
--	1	--	--	17	--	13	1	5	--
--	1	--	--	21	--	14	9	4	--
--	2	--	--	15	--	15	3	5	--
--	2	--	--	19	--	16	6	9	--
--	3	--	--	23	--	17	10	0	--
--	1	--	--	19	--	18	9	1	--
--	2	--	--	25	--	19	5	2	--
--	2	--	--	17	--	20	8	5	--
--	1	--	--	19	--	21	1	4	--
--	3	--	--	19	--	22	1	0	--
--	3	--	--	19	--	23	3	0	--
--	3	--	--	23	--	24	1	0	--
--	3	--	--	25	--	25	9	0	--
--	1	--	--	19	--	26	6	4	--
--	2	--	--	17	--	27	8	1	--
--	3	--	--	15	--	28	4	0	--
--	2	--	--	17	--	29	3	5	--
--	1	--	--	23	--	30	7	1	--
--	1	--	--	19	--	31	1	9	--
--	3	--	--	19	--	32	7	0	--
--	1	--	--	25	--	33	11	8	--
--	3	--	--	15	--	34	4	0	--
--	2	--	--	23	--	35	4	1	--
--	3	--	--	23	--	36	3	0	--
cue_Onset	Block	trialDuration	rt	Endowment	trialDuration	nTrial	L_Option	R_Option	resp
4.005545	3	1.25056	0.7331556	19	1.25056	1	3	0	3.0
--	1	3.4671555	2.9497724	25	3.4671555	2	5	2	2.0
22.788166	3	2.0666788	1.549578	15	2.0666788	3	0	5	2.0
--	2	2.584181	2.0670795	19	2.584181	4	4	6	3.0
--	2	3.1469347	2.63031	25	3.1469347	5	2	8	2.0
--	2	2.1006596	1.583419	21	2.1006596	6	1	4	2.0
61.317883	3	1.1490437	0.6322076	15	1.1490437	7	2	0	3.0
--	1	1.7180479	1.2003943	25	1.7180479	8	8	2	2.0
76.75002	3	1.0998281	0.583317	17	1.0998281	9	1	0	3.0
--	1	2.533465	2.0163047	17	2.533465	10	8	1	2.0
--	1	1.6997846	1.1836411	23	1.6997846	11	1	7	3.0
--	2	2.232704	1.7164874	23	2.232704	12	10	4	3.0
113.44525	3	1.2993475	0.7825562	17	1.2993475	13	4	0	3.0
--	2	2.5814536	2.0643547	19	2.5814536	14	9	1	3.0
134.89365	3	1.7492864	1.2332551	15	1.7492864	15	1	0	3.0
--	1	5.0661654	4.5497365	23	5.0661654	16	7	10	3.0
--	1	1.9663616	1.4500171	21	1.9663616	17	4	1	2.0
--	1	2.8164957	2.2998528	23	2.8164957	18	4	10	3.0
--	1	2.268222	1.7496276	19	2.268222	19	6	4	2.0
--	2	1.9159048	1.398676	23	1.9159048	20	10	7	2.0
--	1	1.4661928	0.9490737	23	1.4661928	21	1	10	3.0
--	2	2.0994952	1.5828485	21	2.0994952	22	1	4	2.0
--	1	2.166928	1.6495808	25	2.166928	23	11	8	2.0
--	2	1.733803	1.2168303	17	1.733803	24	8	3	3.0
--	1	2.6509821	2.1332345	17	2.6509821	25	3	8	3.0
--	1	1.7663298	1.2488568	19	1.7663298	26	6	9	3.0
--	2	2.1322365	1.6159697	17	2.1322365	27	3	5	3.0
256.1106	3	2.0510335	1.5334253	23	2.0510335	28	0	3	2.0
--	2	1.766511	1.2490251	15	1.766511	29	5	3	3.0
270.9926	3	1.5161718	0.9996125	15	1.5161718	30	5	0	3.0
283.04218	3	1.7163758	1.1991564	21	1.7163758	31	0	5	2.0
--	2	3.2154224	2.6991696	21	3.2154224	32	7	1	3.0
299.04047	3	1.6829265	1.1659029	19	1.6829265	33	0	9	2.0
308.25537	3	2.0837471	1.5672169	25	2.0837471	34	0	1	2.0
--	2	2.7319393	2.2141705	23	2.7319393	35	1	10	2.0
324.1365	3	3.8835802	3.366566	17	3.8835802	36	8	0	3.0
cue_Onset	Block	trialDuration	rt	Endowment	trialDuration	nTrial	L_Option	R_Option	resp
4.004956	3	2.0819585	1.5663238	21	2.0819585	1	4	7	3.0
--	1	2.8169992	2.3005304	23	2.8169992	2	4	7	3.0
--	1	1.600286	1.0834475	17	1.600286	3	1	8	3.0
--	2	--	--	23	--	4	1	7	--
--	3	--	--	15	--	5	1	7	--
--	2	--	--	25	--	6	8	5	--
--	3	--	--	25	--	7	2	8	--
--	3	--	--	23	--	8	7	4	--
--	1	--	--	25	--	9	11	5	--
--	3	--	--	21	--	10	9	4	--
--	3	--	--	21	--	11	1	4	--
--	3	--	--	21	--	12	1	4	--
--	2	--	--	21	--	13	1	4	--
--	2	--	--	21	--	14	1	4	--
--	3	--	--	21	--	15	7	1	--
--	1	--	--	17	--	16	5	1	--
--	1	--	--	21	--	17	7	9	--
--	2	--	--	19	--	18	4	6	--
--	2	--	--	23	--	19	10	4	--
--	2	--	--	21	--	20	4	9	--
--	3	--	--	25	--	21	8	11	--
--	1	--	--	19	--	22	9	6	--
--	3	--	--	15	--	23	3	5	--
--	1	--	--	17	--	24	3	1	--
--	1	--	--	21	--	25	4	9	--
--	2	--	--	19	--	26	9	1	--
--	2	--	--	15	--	27	3	1	--
--	3	--	--	15	--	28	7	3	--
--	1	--	--	19	--	29	6	1	--
--	2	--	--	21	--	30	9	1	--
--	2	--	--	15	--	31	5	3	--
--	1	--	--	21	--	32	9	7	--
--	1	--	--	21	--	33	7	9	--
--	3	--	--	19	--	34	4	9	--
--	1	--	--	25	--	35	2	11	--
--	2	--	--	15	--	36	1	5	--
