onset	trial_type	duration	response_time	endowment	trial_Duration	nTrial	L_Option	R_Option	Response
--	2	1.7841156999999999	1.266985	19	1.7841156999999999	1	9	4	3.0
--	1	1.8169034	1.2996702	19	1.8169034	2	6	4	2.0
--	1	1.6670517	1.1492015	15	1.6670517	3	1	7	3.0
--	2	2.1666822	1.6504903000000002	23	2.1666822	4	10	1	3.0
43.561172	3	2.0672715	1.5501923999999998	21	2.0672715	5	9	4	3.0
--	2	2.050734	1.5336223	21	2.050734	6	7	4	3.0
--	2	2.066076	1.5496927	25	2.066076	7	8	2	3.0
69.342224	3	2.7285826	2.1666648	25	2.7285826	8	8	5	2.0
--	2	2.6337106	2.1165736	19	2.6337106	9	9	4	3.0
--	1	2.5343134	2.0172403	15	2.5343134	10	1	7	3.0
99.339325	3	1.0170705	0.5012451	15	1.0170705	11	1	7	3.0
104.887856	3	1.3170494	0.7997501	25	1.3170494	12	11	2	3.0
--	2	1.4331205	0.9168628000000001	15	1.4331205	13	7	1	3.0
125.2018	3	1.7494509999999999	1.232791	25	1.7494509999999999	14	8	5	3.0
--	2	1.8662657999999999	1.3495162	23	1.8662657999999999	15	4	1	3.0
141.385	3	1.1334790000000001	0.6169659000000001	25	1.1334790000000001	16	8	2	3.0
--	2	2.3322935	1.8156866999999999	25	2.3322935	17	2	5	3.0
--	2	1.7840228999999999	1.2661742	21	1.7840228999999999	18	4	1	3.0
165.23145	3	1.4505988	0.9334273999999999	23	1.4505988	19	10	4	3.0
--	1	1.4346614	0.9168519	17	1.4346614	20	3	5	3.0
--	2	1.6005263	1.0826719	19	1.6005263	21	6	1	3.0
190.81194	3	1.8002197	1.2837439	19	1.8002197	22	1	9	3.0
--	2	1.6157906000000002	1.0993001	17	1.6157906000000002	23	5	8	2.0
--	1	1.4836106000000002	0.966983	17	1.4836106000000002	24	8	5	2.0
--	1	2.3839827000000002	1.8671615000000001	19	2.3839827000000002	25	1	4	3.0
--	1	1.5998183000000001	1.0830374	19	1.5998183000000001	26	1	6	3.0
--	1	1.5152082	0.9989916	23	1.5152082	27	4	10	3.0
254.90283	3	2.1668882000000003	1.6503041	17	2.1668882000000003	28	8	1	3.0
--	1	2.3501046000000003	1.8330148000000002	15	2.3501046000000003	29	3	5	3.0
268.4861	3	0.7837528	0.26627940000000005	21	0.7837528	30	4	1	3.0
--	1	2.0989418	1.5829861	25	2.0989418	31	8	11	3.0
283.93365	3	1.0991927	0.5828629	23	1.0991927	32	1	4	3.0
--	1	2.434009	1.9171016	23	2.434009	33	4	10	3.0
--	2	2.5327968999999997	2.0162427	15	2.5327968999999997	34	7	5	2.0
303.59818	3	0.9174409	0.4004974	17	0.9174409	35	3	1	3.0
--	1	2.6667563999999997	2.150439	23	2.6667563999999997	36	1	7	2.0
