﻿TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,2,0.75,1,0,3.92E-06,0.005177119,4.0134306,2,5.1431446,1.1297141,5,6.531229,7.544214,3.5307834,7.5444546,8.295186
2,2,1,1,1,1,0.75,1,1,--,--,8.29803,3,8.946151,0.6481207,3,10.815033,11.828616,3.5305862,11.828803,12.582041
3,3,1,1,1,2,0.75,1,2,--,--,12.584285,2,13.166333,0.5820477,5,15.101078,16.11222,3.5279348,16.112408,16.86912
4,4,1,1,1,1,0.75,1,3,--,--,16.8715,2,17.302528,0.43102854,8,19.38888,20.400259,3.5287604,20.400446,21.155811
5,5,1,1,1,1,0.75,1,4,--,--,21.158077,3,21.573391,0.41531515,3,23.674906,24.683283,3.5252059,24.683472,25.442781
6,6,1,1,1,1,0.75,1,5,--,--,25.445007,3,25.943382,0.49837607,3,27.962292,28.970123,3.5251174,28.97031,29.72939
7,7,1,1,1,1,0.75,1,6,--,--,29.731594,3,30.14683,0.41523457,4,32.248688,33.258305,3.5267088,33.258488,34.01641
8,8,1,1,1,1,12,1,7,--,--,34.01862,0,999,999,999,36.519203,37.53554,3.5169213,37.535725,49.545837
9,9,2,3,2,1,0.75,1,8,--,--,50.111935,2,50.780598,0.6686656,6,52.629433,53.6404,3.528468,53.640587,54.40012
10,10,2,3,2,1,0.75,1,9,--,--,54.953995,3,56.468643,1.5146474,4,57.47135,58.480503,3.5265079,58.48069,59.237263
11,11,2,3,2,1,0.75,1,10,--,--,59.624935,2,61.90657,2.281632,8,62.142292,63.1515,3.5265622,63.151688,63.907745
12,12,2,3,2,1,0.75,1,11,--,--,64.2897,3,64.70878,0.41907468,4,66.80578,67.81435,3.5246494,67.81456,68.57817
13,13,2,3,2,2,0.75,1,12,--,--,68.987564,2,69.362434,0.37487203,5,71.505226,72.51543,3.527861,72.51561,73.28207
14,14,2,3,2,1,0.75,1,13,--,--,73.665,3,73.999756,0.3347601,3,76.18246,77.19228,3.5272865,77.192474,77.9527
15,15,2,3,2,3,0.75,1,14,--,--,78.50546,2,78.9206,0.41513133,2,81.02237,82.03397,3.5285048,82.03416,82.78984
16,16,2,3,2,1,8,1,15,--,--,83.1894,2,83.72438,0.53497905,6,85.707184,86.71648,3.5270739,86.71666,94.733116
17,17,3,1,1,2,0.75,1,16,--,--,94.74069,3,95.16725,0.426559,5,97.25801,98.26823,3.5275319,98.26841,99.01971
18,18,3,1,1,3,0.75,1,17,--,--,99.022156,2,99.63745,0.615292,2,101.53901,102.54829,3.5261314,102.54847,103.306946
19,19,3,1,1,1,0.75,1,18,--,--,103.30934,3,103.69071,0.38137347,1,105.8266,106.83823,3.52889,106.83842,107.59368
20,20,3,1,1,1,0.75,1,19,--,--,107.59613,2,108.41131,0.8151795,7,110.11302,111.12233,3.5262046,111.12252,111.88048
21,21,3,1,1,1,0.75,1,20,--,--,111.88291,3,112.26459,0.38167867,2,114.399895,115.40838,3.5254667,115.408615,116.16738
22,22,3,1,1,1,0.75,1,21,--,--,116.16968,2,116.685074,0.515399,6,118.68656,119.69541,3.5257308,119.69562,120.45411
23,23,3,1,1,1,0.75,1,22,--,--,120.45642,3,120.821625,0.36519822,3,122.973404,123.98159,3.5251677,123.98178,124.74121
24,24,3,1,1,1,10,1,23,--,--,124.74355,2,125.0583,0.31473836,7,127.26113,128.2692,3.5256407,128.26938,138.28539
25,25,4,2,1,2,0.75,1,24,--,--,138.28853,3,138.68637,0.39785212,5,140.80602,141.81624,3.5277216,141.81642,142.57246
26,26,4,2,1,3,0.75,1,25,--,--,142.57483,3,143.3734,0.7985774,9,145.09236,146.10426,3.5294352,146.10445,146.85933
27,27,4,2,1,3,0.75,1,26,--,--,146.86168,2,147.51021,0.6485225,4,149.37901,150.3875,3.52582,150.3877,151.14621
28,28,4,2,1,3,0.75,1,27,--,--,151.14847,3,151.74712,0.5986434,7,153.66571,154.67352,3.5250463,154.6737,155.43282
