onset	duration	condition
4.016163400025107	3	door
7.018814000068232	2	Fixation_ant
9.035362700000405	3	loss
18.104903800063767	3	door
21.116925599984825	2	Fixation_ant
23.13322160008829	3	win
30.163320300052874	3	door
33.16547270002775	2	Fixation_ant
35.18241150001995	3	loss
40.20353350008372	3	door
43.21448850003071	2	Fixation_ant
45.2313950000098	3	loss
54.253913399996236	3	door
57.26292920007836	2	Fixation_ant
59.279935400001705	3	loss
66.30263879999984	3	door
69.31151939998381	2	Fixation_ant
71.32835740002338	3	win
76.36094679997768	3	door
79.38005240005441	2	Fixation_ant
81.39366950001568	3	win
88.42374470003415	3	door
91.42542230000254	2	Fixation_ant
93.44180620007683	3	loss
100.46367109997664	3	door
103.4746336999815	2	Fixation_ant
105.49099419999402	3	win
110.52236300008371	3	door
113.5237340000458	2	Fixation_ant
115.5394048000453	3	win
122.57175760006066	3	door
125.58858840004541	2	Fixation_ant
127.60438360006083	3	win
132.6351835000096	3	door
135.63701690000016	2	Fixation_ant
137.652851400082	3	loss
144.67359510005917	3	door
147.6855650000507	2	Fixation_ant
149.70336160005536	3	win
156.7335617999779	3	door
159.7365020000143	2	Fixation_ant
161.75245240004733	3	loss
166.77374340000097	3	door
169.7836091000354	2	Fixation_ant
171.80055080004968	3	loss
176.82151809998322	3	door
179.8322789000813	2	Fixation_ant
181.84949460008647	3	win
188.8793929000385	3	door
191.88096790004056	2	Fixation_ant
193.8978220000863	3	loss
198.91915349999908	3	door
201.92969200003427	2	Fixation_ant
203.9462820000481	3	win
210.97564890002832	3	door
213.9782836000668	2	Fixation_ant
215.99503980006557	3	win
221.02486510004383	3	door
224.02822590002324	2	Fixation_ant
226.04337540001143	3	win
231.07410550001077	3	door
234.07623910007533	2	Fixation_ant
236.09335400001146	3	win
241.123877700069	3	door
244.12845389998984	2	Fixation_ant
246.14105209999252	3	loss
251.16236950003076	3	door
254.17382959998213	2	Fixation_ant
256.1901228000643	3	loss
265.2119746999815	3	door
268.2223334000446	2	Fixation_ant
270.23939370003063	3	win
279.27006720006466	3	door
282.2707054000348	2	Fixation_ant
284.28748000005726	3	loss
289.3089078000048	3	door
292.31946450006217	2	Fixation_ant
294.33576609997544	3	loss
305.35665179998614	3	door
308.36754930007737	2	Fixation_ant
310.3839404999744	3	loss
315.4042226000456	3	door
318.4163160000462	2	Fixation_ant
320.43286760000046	3	loss
325.454279000056	3	door
328.465421800036	2	Fixation_ant
330.4813342000125	3	win
337.51265619997866	3	door
340.5137284999946	2	Fixation_ant
342.53013369999826	3	win
347.562098500086	3	door
350.56285590003245	2	Fixation_ant
352.5790934000397	3	loss
357.60089460003655	3	door
360.6117925000144	2	Fixation_ant
362.6287187000271	3	win
372.65944100008346	3	door
375.6766865000827	2	Fixation_ant
377.693892100011	3	loss
386.7155868000118	3	door
389.72505760006607	2	Fixation_ant
391.7413195000263	3	loss
396.76289400004316	3	door
399.77402490004897	2	Fixation_ant
401.79091900005005	3	loss
406.8122641000664	3	door
409.8230038000038	2	Fixation_ant
411.8397693000734	3	win
422.87041189998854	3	door
425.87107029999606	2	Fixation_ant
427.88820430007763	3	win
438.9196429000003	3	door
441.93576100002974	2	Fixation_ant
443.95243250008207	3	loss
453.974788099993	3	door
456.9843044000445	2	Fixation_ant
459.00008859997615	3	win
470.03174330003094	3	door
473.0324042000575	2	Fixation_ant
475.0494600000093	3	win
484.08064900001045	3	door
487.0978255000664	2	Fixation_ant
489.1129200999858	3	win
498.14473449997604	3	door
501.1456774000544	2	Fixation_ant
503.1624242999824	3	loss
514.1836957000196	3	door
517.1940805000486	2	Fixation_ant
519.2104792000027	3	win
530.2418346999912	3	door
533.2590447000694	2	Fixation_ant
535.275152200018	3	loss
544.2968822000548	3	door
547.3069242000347	2	Fixation_ant
549.3243097000523	3	loss
559.3464042000705	3	door
562.3554422000889	2	Fixation_ant
564.3715538000688	3	win
574.4026685000863	3	door
577.403754799976	2	Fixation_ant
579.4199456999777	3	loss
588.4422170000616	3	door
591.4522057999857	2	Fixation_ant
593.4693939000135	3	win
603.4995640000561	3	door
606.5001553000184	2	Fixation_ant
608.5163524000673	3	win
618.5481779000256	3	door
621.5487334000645	2	Fixation_ant
623.565412200056	3	win
634.5973101999843	3	door
637.6132367000682	2	Fixation_ant
639.6303728000494	3	win
646.6604421000229	3	door
649.6618648000294	2	Fixation_ant
651.6792029000353	3	loss
660.7001251999754	3	door
663.7106123000849	2	Fixation_ant
665.7268429000396	3	loss
674.7494517000159	3	door
677.7592600000789	2	Fixation_ant
679.776008100016	3	win
686.8065615000669	3	door
689.8077498000348	2	Fixation_ant
691.8242253999924	3	loss
700.846411400009	3	door
703.8561849000398	2	Fixation_ant
705.8722075000405	3	loss
715.8952026000479	3	door
718.9041084999917	2	Fixation_ant
720.9211366000818	3	loss
725.9422822999768	3	door
728.9529196000658	2	Fixation_ant
730.9699926000321	3	loss
739.9913551000645	3	door
743.0017043000553	2	Fixation_ant
745.0172095000744	3	win
755.0486497000093	3	door
758.0499493000098	2	Fixation_ant
760.0666700000875	3	win
