TrialNumber,Trial,ISI,ITI,winlose,door_image_L,door_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,0.6,5.3,loss,obj (1).bmp,obj (61).bmp,1.0,0.0,2.0185459,2.0,0.5122872,2.530833,5.0420427,3.0240068,5.0427537,2.0,7.0480776,8.052186,8.052514,13.357633,2019-11-25 12:50:45.691393
2,2,0.6,1.1,win,obj (2).bmp,obj (62).bmp,1.0,1.0,13.377911,3.0,0.51199,13.8899,16.405518,3.027985,16.406036,2.0,18.412012,19.421112,19.421373,20.540838,2019-11-25 12:50:52.873662
3,3,0.6,1.1,loss,obj (3).bmp,obj (63).bmp,1.0,2.0,20.5559,2.0,0.5107938,21.066694,23.578289,3.022799,23.578936,2.0,25.584599,26.589783,26.590014,27.695683,2019-11-25 12:51:00.028582
4,4,0.6,3.2,loss,obj (4).bmp,obj (64).bmp,1.0,3.0,27.711908,--,--,--,--,--,--,--,--,--,--,--,--
5,5,0.6,5.3,loss,obj (5).bmp,obj (65).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,0.6,3.2,win,obj (6).bmp,obj (66).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,0.6,3.2,win,obj (7).bmp,obj (67).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,0.6,1.1,loss,obj (8).bmp,obj (68).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,0.6,1.1,win,obj (9).bmp,obj (69).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,0.6,1.1,win,obj (10).bmp,obj (70).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,0.6,3.2,win,obj (11).bmp,obj (71).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,0.6,1.1,loss,obj (12).bmp,obj (72).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,0.6,5.3,win,obj (13).bmp,obj (73).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,0.6,1.1,loss,obj (14).bmp,obj (74).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,0.6,5.3,loss,obj (15).bmp,obj (75).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,0.6,3.2,win,obj (16).bmp,obj (76).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,0.6,3.2,loss,obj (17).bmp,obj (77).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,0.6,3.2,win,obj (18).bmp,obj (78).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,0.6,11.6,win,obj (19).bmp,obj (79).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,0.6,5.3,win,obj (20).bmp,obj (80).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,0.6,5.3,win,obj (21).bmp,obj (81).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,0.6,3.2,loss,obj (22).bmp,obj (82).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,0.6,1.1,loss,obj (23).bmp,obj (83).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,0.6,1.1,win,obj (24).bmp,obj (84).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,0.6,5.3,loss,obj (25).bmp,obj (85).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,0.6,5.3,loss,obj (26).bmp,obj (86).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,0.6,3.2,loss,obj (27).bmp,obj (87).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,0.6,1.1,loss,obj (28).bmp,obj (88).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,0.6,3.2,win,obj (29).bmp,obj (89).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,0.6,1.1,win,obj (30).bmp,obj (90).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,0.6,1.1,loss,obj (31).bmp,obj (91).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,0.6,1.1,win,obj (32).bmp,obj (92).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,0.6,5.3,loss,obj (33).bmp,obj (93).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,0.6,1.1,loss,obj (34).bmp,obj (94).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,0.6,3.2,loss,obj (35).bmp,obj (95).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,0.6,5.3,win,obj (36).bmp,obj (96).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,37,0.6,5.3,win,obj (37).bmp,obj (97).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,38,0.6,1.1,loss,obj (38).bmp,obj (98).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,39,0.6,1.1,win,obj (39).bmp,obj (99).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,40,0.6,5.3,win,obj (40).bmp,obj (100).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,41,0.6,1.1,win,obj (41).bmp,obj (101).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42,0.6,3.2,loss,obj (42).bmp,obj (102).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,43,0.6,7.4,win,obj (43).bmp,obj (103).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,44,0.6,1.1,loss,obj (44).bmp,obj (104).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,45,0.6,1.1,loss,obj (45).bmp,obj (105).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,46,0.6,1.1,win,obj (46).bmp,obj (106).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,47,0.6,3.2,loss,obj (47).bmp,obj (107).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,48,0.6,5.3,win,obj (48).bmp,obj (108).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,49,0.6,5.3,win,obj (49).bmp,obj (109).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,50,0.6,5.3,win,obj (50).bmp,obj (110).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,51,0.6,3.2,win,obj (51).bmp,obj (111).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,52,0.6,1.1,loss,obj (52).bmp,obj (112).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,0.6,3.2,loss,obj (53).bmp,obj (113).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,0.6,3.2,win,obj (54).bmp,obj (114).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,55,0.6,1.1,loss,obj (55).bmp,obj (115).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,56,0.6,1.1,loss,obj (56).bmp,obj (116).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,57,0.6,1.1,loss,obj (57).bmp,obj (117).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
58,58,0.6,5.3,loss,obj (58).bmp,obj (118).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
59,59,0.6,5.3,win,obj (59).bmp,obj (119).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
60,60,0.6,5.3,win,obj (60).bmp,obj (120).bmp,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
