Trial	Onset	Endowment	Response Time	Duration	L_Option	R_Option	Response
1	6.52829	25	0.1502416	0.6671259	8.75	0	2
2	15.227	17	0.003596299	0.5177162	4.25	0	2
3	20.277573	17	0.0658507	0.5822415	5.95	0	3
4	--	15	7.0814905	7.598579	0.3	0.5	2
5	--	15	15.097639	15.613855	0.5	0.7	2
6	--	21	21.94686	22.463577	0.5	0.9	3
7	48.77413	25	1.5160089	2.0330212	6.25	0	2
8	--	19	8.431794	8.9482975	0.6	1	2
9	--	19	17.430513	17.9478	0.6	1.4	3
10	--	15	28.479662	28.996603	0.6	1.8	2
11	--	19	40.111786	40.62884	0.1	0.9	2
12	93.93534	25	1.5492227	2.0657187	3.75	0	3
13	--	15	13.797809	14.314718	0.3	2.7	2
14	--	17	24.097157	24.613546	0.5	0.9	3
15	--	23	30.496672	31.013186	0.2	0.6	2
16	--	15	39.86145	40.378155	0.3	0.9	2
17	140.34724	19	0.632415	1.1492887	0.95	0	2
18	--	23	11.164514	11.681086	0.2	1.4	3
19	--	25	19.313314	19.830355	0.3	0.5	3
20	--	21	25.69762	26.212528	0.4	2.8	2
21	--	25	38.06118	38.578316	0.4	2	3
22	--	21	51.45987	51.976845	0.1	0.7	2
23	--	23	57.492863	58.01087	0.2	1	2
24	--	17	65.774796	66.29179	0.3	2.7	2
25	--	15	76.15662	76.67363	0.5	0.7	3
26	--	23	85.10609	85.62271	0.7	0.9	2
27	230.50249	23	2.1335707	2.6495361	1.15	0	3
28	--	19	10.799078	11.315742	0.3	0.5	2
29	--	19	17.64896	18.165327	1.4	1.8	3
30	--	15	27.813812	28.330786	1.2	2.8	3
31	--	19	42.862263	43.378548	0.1	0.3	3
32	--	19	51.961105	52.47801	0.3	0.9	2
33	287.51276	17	1.2170931	1.7338535	7.65	0	3
34	298.77924	25	2.3650093	2.882479	6.25	0	3
35	311.69284	21	1.6170931	2.1343625	9.45	0	3
36	--	19	11.298803	11.81541	0.5	0.9	2
37	--	21	18.198559	18.715359	1.2	2.8	2
38	--	21	31.546824	32.06309	0.5	0.7	2
39	--	25	38.88076	39.395966	0.6	1.8	2
40	--	23	49.99466	50.511116	0.2	0.6	3
41	368.73743	23	0.9658621	1.4828115	10.35	0	3
42	379.75272	25	0.6329206	1.1498704	11.25	0	3
43	--	15	14.763943	15.280991	0.4	1.2	2
44	--	21	28.680445	29.195951	0.5	0.7	3
45	--	25	35.395195	35.912437	0.3	1.5	3
46	--	21	45.877674	46.394188	2.8	3.6	2
47	--	15	60.375526	60.89248	0.3	0.5	2
48	--	21	66.54185	67.05904	0.3	2.7	2
49	455.34357	17	0.6667559	1.1822256	4.25	0	2
50	463.05878	19	0.0036023	0.5178273	4.75	0	2
51	--	15	11.632137	12.148911	0.9	2.7	3
52	483.73987	15	0.6164492	1.133323	5.25	0	2
53	--	23	8.08279	8.599243	0.5	0.9	3
54	496.87122	17	1.2173212	1.7339782	2.55	0	2
55	503.13742	19	1.4345522	1.9512393	0.95	0	2
56	--	21	9.566162	10.082692	0.1	0.9	2
57	--	15	15.533272	16.048622	0.3	0.7	2
58	525.2191	25	0.883283	1.4003748	1.25	0	2
59	--	19	8.943675	9.462922	0.1	0.5	2
60	539.21704	25	0.5665681	1.083518	8.75	0	3
61	--	21	9.248501	9.765996	0.7	0.9	2
62	--	25	15.898176	16.41515	0.2	1.4	2
63	563.66406	17	0.7333854	1.2504768	2.55	0	2
64	573.4472	15	1.5161948	2.0320258	0.75	0	2
65	--	15	10.298329	10.81501	0.2	1.4	2
66	--	15	18.497139	19.014126	0.5	0.9	3
67	--	17	24.596073	25.112612	0.5	0.7	3
68	--	25	31.312347	31.828764	1.4	1.8	2
69	611.80804	23	0.067495	0.5845377	3.45	0	2
70	--	25	11.983082	12.499006	0.3	0.7	2
71	628.84106	15	2.7483535	3.2662232	2.25	0	2
72	638.13934	15	0.5497183	1.0658097	5.25	0	3
	--		10.315498	10.83205			3
nTrial	decision_onset	Endowment	rt	trialDuration	L_Option	R_Option	resp
1	6.5275073	25	0.0043165	0.5171328	8.75	0	3
2	15.076737	17	0.7661276	1.2821832	4.25	0	2
3	20.892818	17	0.6822459	1.1989416	5.95	0	3
4	--	15	6.4647646	6.9815497	0.3	0.5	2
5	--	15	13.464608	13.981531	0.5	0.7	3
6	--	21	19.363777	19.880556	0.5	0.9	3
7	46.805866	25	0.4169587	0.9334417	6.25	0	3
8	--	19	5.549628	6.0657697	0.6	1	2
9	--	19	12.931613	13.448865	0.6	1.4	3
10	--	15	23.780146	24.296808	0.6	1.8	2
11	--	19	34.345955	34.863293	0.1	0.9	3
12	86.201614	25	0.003686801	0.5171387	3.75	0	2
13	--	15	11.198598	11.716386	0.3	2.7	3
14	--	17	20.914019	21.43112	0.5	0.9	2
15	--	23	26.397964	26.91341	0.2	0.6	3
16	--	15	35.36225	35.87874	0.3	0.9	3
17	128.11371	19	0.6325869	1.1490334	0.95	0	3
18	--	23	9.397901	9.915646	0.2	1.4	2
19	--	25	16.897524	17.414558	0.3	0.5	3
20	--	21	22.396748	22.913975	0.4	2.8	2
21	--	25	33.878613	34.395264	0.4	2	3
22	--	21	46.944088	47.46121	0.1	0.7	2
23	--	23	52.7597	53.276043	0.2	1	3
24	--	17	60.742435	61.259007	0.3	2.7	2
25	--	15	71.1742	71.691124	0.5	0.7	2
26	--	23	80.37308	80.890335	0.7	0.9	2
27	213.53708	23	1.1507224	1.665817	1.15	0	2
28	--	19	8.381733	8.898294	0.3	0.5	3
29	--	19	14.18105	14.698751	1.4	1.8	2
30	--	15	23.596714	24.113989	1.2	2.8	3
31	--	19	36.99526	37.51245	0.1	0.3	2
32	--	19	45.577717	46.094254	0.3	0.9	3
33	264.16388	17	0.3837981	0.900296	7.65	0	2
34	274.59595	25	0.0034425	0.5181079	6.25	0	3
35	285.14584	21	0.4993708	1.0160322	9.45	0	2
36	--	19	8.556462	9.064933	0.5	0.9	3
37	--	21	14.347189	14.864649	1.2	2.8	2
38	--	21	27.395874	27.912931	0.5	0.7	2
39	--	25	33.129326	33.64491	0.6	1.8	3
40	--	23	43.81097	44.3274	0.2	0.6	2
41	336.0058	23	0.4000279	0.9158424	10.35	0	3
42	346.45502	25	0.5164494	1.0334493	11.25	0	2
43	--	15	13.1644945	13.681207	0.4	1.2	3
44	--	21	26.279903	26.797443	0.5	0.7	2
45	--	25	32.379654	32.89625	0.3	1.5	3
46	--	21	42.06158	42.577934	2.8	3.6	2
47	--	15	54.622066	55.1438	0.3	0.5	3
48	--	21	60.25914	60.77648	0.3	2.7	2
49	415.76318	17	0.4338154	0.9496307	4.25	0	3
50	423.24646	19	0.5658341	1.0825769	4.75	0	2
51	--	15	11.648394	12.164152	0.9	2.7	2
52	443.94394	15	0.4155046	0.9321979	5.25	0	3
53	--	23	7.4822316	7.999353	0.5	0.9	3
54	456.47565	17	0.6829758	1.2000434	2.55	0	3
55	462.20752	19	0.0036106	0.5171788	0.95	0	3
56	--	21	7.500744	8.016334	0.1	0.9	2
57	--	15	13.084041	13.599608	0.3	0.7	2
58	481.83957	25	0.3329028	0.8502649	1.25	0	2
59	--	19	8.815116	9.332569	0.1	0.5	3
60	495.70438	25	0.5497322	1.0666014	8.75	0	2
61	--	21	8.165529	8.682788	0.7	0.9	2
62	--	25	13.63173	14.14847	0.2	1.4	3
63	517.88513	17	0.5830667	1.0998975	2.55	0	3
64	527.51794	15	0.3994725	0.9161756	0.75	0	3
65	--	15	7.4483023	7.9652624	0.2	1.4	3
66	--	15	15.030838	15.547913	0.5	0.9	3
67	--	17	20.596972	21.114712	0.5	0.7	3
68	--	25	26.230034	26.746344	1.4	1.8	2
69	560.7972	23	0.0038054	0.5163204	3.45	0	3
70	--	25	10.698348	11.214873	0.3	0.7	3
71	576.54517	15	0.4498675	0.9655434	2.25	0	2
72	583.54364	15	0.4674312	0.9841367	5.25	0	2
	--		9.165875	9.682498			3
nTrial	decision_onset	Endowment	rt	trialDuration	L_Option	R_Option	resp
1	6.5326633	25	999	3.5328636	8.75	0	999
2	18.098309	17	1.4489554	1.9659983	4.25	0	2
3	24.596634	17	1.1666725	1.6832651	5.95	0	3
4	--	15	8.749221	9.266204	0.3	0.5	3
5	--	15	17.264812	17.781307	0.5	0.7	3
6	--	21	24.047327	24.564413	0.5	0.9	3
7	55.19446	25	1.5319455	2.049235	6.25	0	2
8	--	19	8.598142	9.11422	0.6	1	3
9	--	19	18.279982	18.797125	0.6	1.4	3
10	--	15	30.495245	31.012156	0.6	1.8	3
11	--	19	43.560646	44.07715	0.1	0.9	3
12	103.80569	25	2.2655308	2.7816336	3.75	0	2
13	--	15	15.564199	16.080986	0.3	2.7	3
14	--	17	26.529547	27.046623	0.5	0.9	2
15	--	23	33.94523	34.462154	0.2	0.6	3
16	--	15	43.877197	44.395382	0.3	0.9	2
17	154.23244	19	2.4994886	3.016034	0.95	0	3
18	--	23	13.148359	13.665836	0.2	1.4	3
19	--	25	22.430573	22.946892	0.3	0.5	3
20	--	21	29.362972	29.879393	0.4	2.8	2
21	--	25	42.594933	43.111618	0.4	2	2
22	--	21	57.659847	58.176674	0.1	0.7	3
23	--	23	64.69237	65.209274	0.2	1	3
24	--	17	73.041405	73.55916	0.3	2.7	2
25	--	15	83.85703	84.374626	0.5	0.7	2
26	--	23	93.188576	93.70576	0.7	0.9	2
27	252.47043	23	2.0834105	2.6012244	1.15	0	3
28	--	19	10.799487	11.316232	0.3	0.5	2
29	--	19	999	19.381666	1.4	1.8	999
30	--	15	28.697426	29.2141	1.2	2.8	2
31	--	19	42.46227	42.97945	0.1	0.3	3
32	--	19	52.644287	53.161266	0.3	0.9	3
33	310.16464	17	0.9661165	1.4831065	7.65	0	3
34	321.1799	25	1.0162177	1.534097	6.25	0	3
35	332.74542	21	0.8828501	1.4001303	9.45	0	3
36	--	19	999	12.465292	0.5	0.9	999
