?TrialNumber	nTrial	Block	Endowment	ITI	ISI	L_Option	R_Option	ran	order	ISI_onset	ISI_offset	decision_onset	resp	rt	resp_onset	decision_offset	trialDuration	ITIonset	ITIoffset
1	1	3	25	4	0.5	8.75	0	1	0	6.0115604	6.528104	6.52829	2	0.1502416	6.6785316	7.194904	0.6671259	7.195576	11.198577
2	2	3	17	2	2	4.25	0	1	1	13.210684	15.226865	15.227	2	0.003596299	15.230597	15.744355	0.5177162	15.744858	17.7478
3	3	3	17	2	0.5	5.95	0	1	2	19.759876	20.277422	20.277573	3	0.0658507	20.343422	20.85944	0.5822415	20.859995	22.863005
4	4	2	15	2	0.5	0.3	0.5	1	3	24.876062	25.393051	--	2	7.0814905	27.359062	27.875788	7.598579	27.876314	29.879658
5	5	2	15	2	2	0.5	0.7	1	4	31.89204	33.909508	--	2	15.097639	35.37521	35.891056	15.613855	35.891594	37.895496
6	6	1	21	2	0.5	0.5	0.9	1	5	39.90782	40.42464	--	3	21.94686	42.22443	42.740795	22.463577	42.741306	44.744892
7	7	3	25	2	2	6.25	0	1	6	46.757378	48.773994	48.77413	2	1.5160089	50.290142	50.80676	2.0330212	50.807285	52.810757
8	8	2	19	4	0.5	0.6	1	1	7	54.822845	55.338932	--	2	8.431794	57.205925	57.722065	8.9482975	57.72259	61.725674
9	9	1	19	4	0.5	0.6	1.4	1	8	63.738304	64.25536	--	3	17.430513	66.20464	66.72154	17.9478	66.72207	70.725266
10	10	2	15	4	3.5	0.6	1.8	1	9	72.73745	76.25365	--	2	28.479662	77.25379	77.77037	28.996603	77.77087	81.77406
11	11	1	19	2	3.5	0.1	0.9	1	10	83.78588	87.303406	--	2	40.111786	88.88592	89.402596	40.62884	89.403114	91.4061
12	12	3	25	6	0.5	3.75	0	1	11	93.41811	93.935196	93.93534	3	1.5492227	95.484566	96.000626	2.0657187	96.00121	102.00414
13	13	1	15	6	2	0.3	2.7	1	12	104.01671	106.03332	--	2	13.797809	107.73315	108.24969	14.314718	108.25019	114.253815
14	14	1	17	2	0.5	0.5	0.9	1	13	116.265434	116.78295	--	3	24.097157	118.03249	118.54846	24.613546	118.54906	120.55212
15	15	2	23	4	0.5	0.2	0.6	1	14	122.56467	123.08121	--	2	30.496672	124.432014	124.94805	31.013186	124.94867	128.95189
16	16	2	15	2	2	0.3	0.9	1	15	130.96411	132.98073	--	2	39.86145	133.79678	134.31313	40.378155	134.31366	136.31679
