onset	trial_type	duration	response_time	endowment	trial_Duration	nTrial	L_Option	R_Option	Response
4.006283	1	1.6947699	1.1729921	23	1.6947699	1	4	7	3.0
13.228925	3	1.9315307000000002	1.4142433	15	1.9315307000000002	2	3	5	3.0
23.188847	1	2.2775084999999997	1.7615471999999999	17	2.2775084999999997	3	8	5	2.0
34.487003	1	1.411239	0.8947714	15	1.411239	4	7	3	2.0
47.42013	2	1.7261456999999998	1.2091604	25	1.7261456999999998	5	11	2	3.0
55.168769999999995	1	1.7257098999999998	1.2096188	23	1.7257098999999998	6	1	4	3.0
65.91651	1	1.9433897	1.4266413	19	1.9433897	7	9	1	2.0
81.38336	3	1.5216712	1.0051809999999999	15	1.5216712	8	7	5	3.0
97.93115999999999	2	1.9091147000000002	1.3928576000000001	23	1.9091147000000002	9	1	10	2.0
105.863525	1	1.6108538000000001	1.0935424999999999	25	1.6108538000000001	10	2	5	3.0
115.49431000000001	2	1.9609478	1.4423991000000003	21	1.9609478	11	7	1	3.0
124.9789	3	2.440182	1.9226336	17	2.440182	12	8	3	3.0
133.44301000000002	3	2.4744675	1.9578452000000002	15	2.4744675	13	7	1	3.0
141.94307	1	2.4501462000000003	1.931925	21	2.4501462000000003	14	4	1	2.0
150.40816	3	1.12214	0.6058212	25	1.12214	15	2	5	3.0
157.5555	2	2.050292	1.5330428999999999	21	2.050292	16	9	7	3.0
167.1219	2	1.6437534	1.1284381	23	1.6437534	17	1	10	2.0
180.78851	2	2.0594003	1.5424335	25	2.0594003	18	8	5	3.0
190.36952	3	2.0574918	1.5411841	15	2.0574918	19	7	1	3.0
203.95238	1	2.5595044999999996	2.0429523	15	2.5595044999999996	20	5	1	2.0
214.53252999999998	1	2.06188	1.5455333	17	2.06188	21	1	5	3.0
222.6139	2	1.5303584	1.0130252	21	1.5303584	22	4	1	3.0
234.16565	1	2.791691	2.2750814	15	2.791691	23	7	3	2.0
244.98029	3	2.1745107000000004	1.6577066000000003	17	2.1745107000000004	24	1	8	3.0
257.17966	1	1.7266368000000003	1.2105755	19	1.7266368000000003	25	1	6	3.0
268.42584	3	2.9930267	2.4761658	25	2.9930267	26	2	5	3.0
278.94254	2	2.1774657000000004	1.6606823	23	2.1774657000000004	27	4	7	2.0
287.17386	3	1.7056041000000002	1.1899815	15	1.7056041000000002	28	5	1	3.0
297.90656	1	2.479054	1.9619876	25	2.479054	29	8	5	2.0
306.40512	2	2.0273542	1.5116158000000002	17	2.0273542	30	5	8	2.0
316.4534	3	1.1604139999999998	0.6434645999999999	21	1.1604139999999998	31	4	1	3.0
325.13586000000004	2	2.182652	1.666233	17	2.182652	32	3	8	2.0
337.3361	2	1.8495595	1.3323806999999999	17	1.8495595	33	5	8	2.0
347.20157	3	1.190893	0.6739231	25	1.190893	34	11	8	3.0
359.41626	2	1.5132447	0.9964312	21	1.5132447	35	4	9	2.0
368.94943	3	1.4400716999999998	0.9236242	21	1.4400716999999998	36	1	9	3.0
