Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
20,13,green,100,1,No_resp,4,wide
30,13,green,100,1,['j'],0.9367247000336647,wide
40,13,green,100,1,No_resp,4,wide
50,13,green,100,0,['f'],2.5426144000375643,wide
60,13,green,100,1,['f'],1.7665671999566257,wide
70,13,green,100,0,['j'],1.457647499977611,wide
80,13,green,100,0,['j'],1.3665708000771701,wide
90,13,green,100,1,['f'],2.059343499946408,wide
20,13,green,50,0,['f'],2.997452300041914,wide
30,13,green,50,1,['j'],2.238029300002381,wide
40,13,green,50,1,['j'],1.4803417000221089,wide
50,13,green,50,0,['j'],2.500996100017801,wide
60,13,green,50,0,['f'],3.6237531999358907,wide
70,13,green,50,0,['j'],1.6871439999667928,wide
80,13,green,50,1,['f'],1.2471103999996558,wide
90,13,green,50,1,['f'],1.0385054999496788,wide
20,13,red,100,1,['f'],3.3744178999913856,narrow
30,13,red,100,0,['j'],1.7684902000473812,narrow
40,13,red,100,0,['j'],1.0077854000264779,narrow
50,13,red,100,0,['j'],1.1117999999551103,narrow
60,13,red,100,0,['j'],0.958691000007093,narrow
70,13,red,100,0,['j'],1.0261474000290036,narrow
80,13,red,100,1,['f'],1.9219638999784365,narrow
90,13,red,100,1,['f'],1.037134600104764,narrow
20,13,red,50,1,['j'],3.1757451000157744,narrow
30,13,red,50,1,['j'],2.8447626000270247,narrow
40,13,red,50,1,['f'],1.4702972000231966,narrow
50,13,red,50,1,['f'],2.2277935999445617,narrow
60,13,red,50,1,['f'],1.2920827000634745,narrow
70,13,red,50,1,['f'],1.0182807000819594,narrow
80,13,red,50,1,['f'],0.7212200999492779,narrow
90,13,red,50,0,['j'],1.1999985999427736,narrow
20,13,blue,100,0,['f'],1.6627890999661759,skew
30,13,blue,100,1,['j'],1.6575981999048963,skew
40,13,blue,100,1,['j'],1.277524400036782,skew
50,13,blue,100,0,['f'],1.7235026999842376,skew
60,13,blue,100,0,['f'],1.1793405000353232,skew
70,13,blue,100,0,['f'],2.5542092999676242,skew
80,13,blue,100,1,['f'],1.022773600067012,skew
90,13,blue,100,0,['j'],2.503895900095813,skew
20,13,blue,50,1,['j'],2.076264899922535,skew
30,13,blue,50,0,['f'],1.2976857000030577,skew
40,13,blue,50,0,['f'],1.3292973999632522,skew
50,13,blue,50,1,['j'],2.054726399946958,skew
60,13,blue,50,0,['f'],1.66079869994428,skew
70,13,blue,50,0,['j'],2.3174883000319824,skew
80,13,blue,50,1,['f'],0.9930773999076337,skew
90,13,blue,50,1,['f'],1.0892106000101194,skew
20,13,yellow,100,1,['j'],2.6035159999737516,True_unkown
30,13,yellow,100,0,['f'],1.2924340999452397,True_unkown
40,13,yellow,100,0,['f'],1.0663660999853164,True_unkown
50,13,yellow,100,0,['f'],2.8298182000871748,True_unkown
60,13,yellow,100,1,['f'],1.8691691000713035,True_unkown
70,13,yellow,100,1,['f'],0.6330167999258265,True_unkown
80,13,yellow,100,1,['f'],1.3726127999834716,True_unkown
90,13,yellow,100,0,['j'],2.796471199952066,True_unkown
20,13,yellow,50,0,['f'],2.010823699994944,True_unkown
30,13,yellow,50,0,['f'],0.9523265999741852,True_unkown
40,13,yellow,50,0,['f'],2.111231999937445,True_unkown
50,13,yellow,50,0,['j'],1.5532817000057548,True_unkown
60,13,yellow,50,0,['j'],1.508632899960503,True_unkown
70,13,yellow,50,1,['f'],1.566461900016293,True_unkown
80,13,yellow,50,0,['j'],1.8162369000492617,True_unkown
90,13,yellow,50,0,['j'],0.8697527999756858,True_unkown
