LotisLeft,Lot_per,Lot_mon,Lot_color,Sure_mon,dist,response,RT
1,80,13,blue,5,Skew,['f'],2.482004600111395
1,80,13,blue,5,Skew,['f'],1.9537983001209795
1,80,13,blue,5,Skew,['f'],1.8458429998718202
1,70,13,blue,5,Skew,['f'],1.8745375000871718
1,90,13,blue,5,Skew,['f'],1.2310748000163585
0,60,13,blue,5,Skew,['f'],2.0536483000032604
0,80,13,blue,5,Skew,['j'],2.585117200156674
0,100,13,blue,5,Skew,['j'],1.2418467998504639
1,90,13,blue,5,Skew,['f'],1.2064714001026005
0,90,13,blue,5,Skew,['j'],1.179566899780184
1,80,13,blue,5,Skew,['f'],1.4338537000585347
0,90,13,blue,5,Skew,['j'],0.7951845999341458
1,100,13,blue,5,Skew,['f'],1.1673766998574138
0,60,13,blue,5,Skew,['f'],1.3347362000495195
1,80,13,blue,5,Skew,['f'],1.4596571999136358
0,80,13,blue,5,Skew,['j'],1.0217546001076698
0,80,13,blue,5,Skew,['j'],1.8911637000273913
0,70,13,blue,5,Skew,['f'],1.4851482000667602
0,70,13,blue,5,Skew,['f'],1.1940322001464665
1,70,13,blue,5,Skew,['j'],1.180657200049609
0,50,13,green,5,Narrow,['f'],1.401102300034836
1,60,13,green,5,Narrow,['j'],1.2415946999099106
0,70,13,green,5,Narrow,['f'],1.820685600163415
1,40,13,green,5,Narrow,['j'],1.2461093999445438
0,50,13,green,5,Narrow,['f'],0.7451186999678612
1,50,13,green,5,Narrow,['j'],0.763976100133732
0,50,13,green,5,Narrow,['f'],0.7384298001416028
0,60,13,green,5,Narrow,['f'],1.0490965999197215
1,50,13,green,5,Narrow,['j'],1.0351152999792248
1,40,13,green,5,Narrow,['j'],1.2058840999379754
0,60,13,green,5,Narrow,['f'],1.8785016001202166
0,50,13,green,5,Narrow,['f'],1.024801000021398
1,40,13,green,5,Narrow,['j'],1.4429376001935452
0,50,13,green,5,Narrow,['j'],1.3005890001077205
0,30,13,green,5,Narrow,['f'],1.0330907998140901
0,60,13,green,5,Narrow,['j'],1.483234299812466
1,50,13,green,5,Narrow,['j'],1.7023892002180219
1,40,13,green,5,Narrow,['j'],1.158582900185138
1,30,13,green,5,Narrow,['j'],0.6935149000491947
1,70,13,green,5,Narrow,['f'],0.8959373999387026
0,0,13,red,5,wide,['f'],0.9840522001031786
1,100,13,red,5,wide,['j'],1.5473970000166446
0,10,13,red,5,wide,['f'],1.5755356000736356
0,90,13,red,5,wide,['j'],1.0394011999014765
1,90,13,red,5,wide,['f'],0.9166508000344038
1,0,13,red,5,wide,['j'],1.1522866999730468
1,10,13,red,5,wide,['j'],0.8139977001119405
1,10,13,red,5,wide,['j'],0.7277317000553012
0,20,13,red,5,wide,['f'],0.8794098999351263
0,100,13,red,5,wide,['j'],1.014647000003606
0,90,13,red,5,wide,['j'],0.8155724999960512
1,20,13,red,5,wide,['j'],1.1868483999278396
0,0,13,red,5,wide,['f'],0.7327578999102116
1,0,13,red,5,wide,['j'],0.7278539000544697
1,80,13,red,5,wide,['f'],0.7026665001176298
0,100,13,red,5,wide,['j'],0.7795617999508977
1,10,13,red,5,wide,['j'],0.8987747000064701
0,80,13,red,5,wide,['j'],0.6206547000911087
0,100,13,red,5,wide,['j'],0.6179721001535654
1,90,13,red,5,wide,['f'],0.7094823000952601
