TrialNumber,ISI,ITI,L_Option,Endowment,R_Option,nTrial,Block,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1.5,1,4,23,0,1,3,1.0,0.0,4.99081,5.9902,6.00631,6.00661,7.52398,7.52421,2.0,1.13249,8.6567,11.0412,3.51754,11.0419,12.0466
2,4.5,1,11,25,8,2,2,1.0,1.0,13.0407,14.0397,14.0564,14.0567,18.5736,18.5738,3.0,1.99996,20.5737,22.0895,3.51612,22.09,23.0936
3,3,1,9,21,1,3,2,1.0,2.0,24.0908,25.0897,25.1064,25.1067,28.1231,28.1233,2.0,1.53348,29.6567,31.639,3.51606,31.6395,32.6436
4,1.5,1,0,15,5,4,3,1.0,3.0,33.6411,34.6395,34.6563,34.6566,36.1736,36.1738,3.0,1.6496,37.8234,39.6893,3.51586,39.6898,40.6939
5,1.5,5,0,17,8,5,3,1.0,4.0,41.691,42.6898,42.7063,42.7066,44.2231,44.2233,2.0,1.68339,45.9067,47.7396,3.51666,47.7401,52.7443
6,4.5,3,1,17,8,6,2,1.0,5.0,53.7411,54.7399,54.7564,54.7567,59.272,59.2722,3.0,1.16795,60.4401,62.7884,3.51662,62.7889,65.7932
7,1.5,1,7,15,5,7,2,1.0,6.0,66.7905,67.7896,67.8062,67.8065,69.3225,69.3226,2.0,1.6175,70.9401,72.8381,3.51582,72.8386,73.8432
8,1.5,1,5,25,2,8,1,1.0,7.0,74.8408,75.8395,75.8562,75.8565,77.3725,77.3727,3.0,1.46732,78.84,80.8885,3.51621,80.889,81.8939
9,1.5,1,1,15,3,9,2,1.0,8.0,82.8906,83.8894,83.9062,83.9065,85.423,85.4232,2.0,1.81676,87.24,88.9393,3.51646,88.9398,89.944
10,3,3,5,15,7,10,2,1.0,9.0,90.9407,91.9395,91.9562,91.9566,94.9724,94.9726,3.0,1.7674,96.74,98.4882,3.51598,98.4887,101.493
11,3,1,5,15,0,11,3,1.0,10.0,102.491,103.49,103.506,103.506,106.523,106.523,2.0,1.80011,108.323,110.038,3.51554,110.039,111.043
12,1.5,3,6,19,9,12,1,1.0,11.0,112.041,113.039,113.056,113.056,114.573,114.573,3.0,1.90026,116.473,118.088,3.51566,118.089,121.093
13,3,8,0,23,1,13,3,1.0,12.0,122.091,123.09,123.106,123.106,126.123,126.123,2.0,2.95016,129.073,129.638,3.5158,129.639,137.643
14,1.5,5,4,23,7,14,1,1.0,13.0,138.641,139.639,139.656,139.657,141.173,141.173,3.0,1.44982,142.623,144.689,3.5162,144.69,149.694
15,3,1,1,23,7,15,1,1.0,14.0,150.691,151.689,151.706,151.706,154.723,154.723,2.0,2.31653,157.04,158.239,3.5162,158.24,159.244
16,3,1,1,17,0,16,3,1.0,15.0,160.241,161.239,161.256,161.256,164.273,164.273,3.0,2.98293,167.256,167.79,3.51718,167.791,168.795
17,3,1,7,21,0,17,3,1.0,16.0,169.79,170.789,170.806,170.806,173.823,173.823,2.0,1.26652,175.09,177.339,3.51645,177.34,178.344
18,1.5,1,5,17,3,18,1,1.0,17.0,179.341,180.339,180.356,180.356,181.873,181.874,2.0,2.7827,184.656,185.39,3.51641,185.39,186.395
19,1.5,1,4,23,0,19,3,1.0,18.0,187.39,188.389,188.406,188.406,189.923,189.923,3.0,2.73362,192.656,193.439,3.51681,193.44,194.444
20,1.5,3,7,21,9,20,1,1.0,19.0,195.441,196.439,196.456,196.457,197.972,197.973,2.0,1.35048,199.323,201.488,3.51599,201.489,204.493
21,4.5,8,6,19,1,21,1,1.0,20.0,205.491,206.489,206.506,206.507,211.023,211.023,2.0,2.16677,213.19,214.538,3.51578,214.539,222.543
22,3,3,7,21,1,22,1,1.0,21.0,223.541,224.539,224.556,224.556,227.573,227.573,2.0,1.28362,228.856,231.089,3.51684,231.09,234.094
23,4.5,3,4,19,1,23,1,1.0,22.0,235.09,236.089,236.106,236.106,240.622,240.622,2.0,1.63386,242.256,244.138,3.51645,244.139,247.143
24,1.5,5,6,19,4,24,2,1.0,23.0,248.14,249.139,249.156,249.156,250.673,250.673,2.0,1.33387,252.007,254.188,3.51559,254.189,259.192
25,1.5,1,1,17,5,25,2,1.0,24.0,260.19,261.189,261.206,261.206,262.723,262.723,3.0,1.48319,264.206,266.239,3.51657,266.24,267.244
26,3,1,0,19,4,26,3,1.0,25.0,268.24,269.239,269.256,269.256,272.272,272.273,2.0,1.41688,273.689,275.788,3.51604,275.789,276.793
27,4.5,3,7,23,4,27,2,1.0,26.0,277.791,278.789,278.806,278.806,283.322,283.323,2.0,2.73347,286.056,286.839,3.51677,286.839,289.844
28,1.5,5,9,19,4,28,2,1.0,27.0,290.84,291.839,291.856,291.856,293.372,293.373,2.0,1.96725,295.34,296.888,3.51548,296.888,301.893
29,1.5,8,11,25,8,29,2,1.0,28.0,302.89,303.889,303.906,303.906,305.423,305.423,3.0,2.61653,308.039,308.938,3.51545,308.939,316.942
30,1.5,5,7,15,1,30,1,1.0,29.0,317.94,318.939,318.956,318.956,320.473,320.473,2.0,1.78326,322.256,323.988,3.51527,323.988,328.993
31,1.5,3,7,21,0,31,3,1.0,30.0,329.99,330.989,331.006,331.006,332.524,332.524,2.0,2.43256,334.956,336.04,3.51625,336.04,339.044
32,1.5,1,1,15,5,32,1,1.0,31.0,340.04,341.039,341.056,341.056,342.572,342.572,3.0,2.21696,344.789,346.089,3.51685,346.089,347.094
