TrialNumber,ISI,ITI,L_Option,Endowment,R_Option,nTrial,Block,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,3,5,1,19,0,1,3,1.0,0.0,5.00305,6.00212,6.01911,6.01943,9.03518,9.03541,3.0,1.96705,11.0025,12.5508,3.51593,12.5515,17.5554
2,4.5,1,0,19,4,2,3,1.0,1.0,18.5535,19.5519,19.5688,19.569,24.0856,24.0858,3.0,2.40013,26.4859,27.6008,3.5154,27.6013,28.6055
3,1.5,1,5,17,0,3,3,1.0,2.0,29.6031,30.6022,30.6186,30.6189,32.1351,32.1353,2.0,1.43365,33.569,35.6514,3.51648,35.6519,36.6561
4,3,1,1,17,3,4,2,1.0,3.0,37.6531,38.6519,38.6686,38.6689,41.6855,41.6857,3.0,1.36676,43.0525,45.2016,3.51627,45.2021,46.2063
5,1.5,1,2,25,8,5,2,1.0,4.0,47.2033,48.2023,48.2185,48.2188,49.7354,49.7355,3.0,1.7336,51.4691,53.2517,3.51661,53.2522,54.2564
6,1.5,5,1,15,5,6,2,1.0,5.0,55.253,56.2522,56.2701,56.2704,57.7863,57.7864,3.0,2.31588,60.1023,61.302,3.51602,61.3026,66.3079
7,3,3,4,23,7,7,2,1.0,6.0,67.303,68.3022,68.3185,68.3187,71.3351,71.3353,3.0,1.3505,72.6858,74.8515,3.51661,74.852,77.8555
8,3,1,1,23,10,8,1,1.0,7.0,78.8533,79.8517,79.8686,79.8689,82.8852,82.8853,3.0,1.70038,84.5857,86.401,3.51604,86.4015,87.4065
9,1.5,1,1,21,4,9,1,1.0,8.0,88.4034,89.4018,89.4186,89.4189,90.9352,90.9353,3.0,1.5005,92.4358,94.4509,3.51595,94.4514,95.4554
10,3,1,0,23,4,10,3,1.0,9.0,96.4532,97.4519,97.4686,97.4688,100.485,100.485,999.0,999.0,999.0,103.502,3.53301,104.019,105.023
11,4.5,3,1,23,0,11,3,1.0,10.0,106.02,107.018,107.035,107.036,111.552,111.552,3.0,1.35001,112.902,115.067,3.51549,115.068,118.072
12,1.5,3,0,25,2,12,3,1.0,11.0,119.07,120.069,120.085,120.085,121.602,121.602,3.0,1.90003,123.502,125.118,3.51598,125.118,128.123
13,4.5,3,4,19,0,13,3,1.0,12.0,129.12,130.118,130.135,130.135,134.652,134.652,2.0,2.00119,136.653,138.166,3.51503,138.167,141.171
14,3,1,6,19,9,14,1,1.0,13.0,142.17,143.168,143.185,143.185,146.201,146.202,3.0,1.90066,148.102,149.718,3.51674,149.718,150.723
15,1.5,3,0,17,8,15,3,1.0,14.0,151.57,152.718,152.735,152.735,154.251,154.251,3.0,2.18459,156.435,157.767,3.5164,157.767,160.772
16,1.5,8,7,15,1,16,2,1.0,15.0,161.769,162.768,162.785,162.785,164.302,164.302,2.0,1.31692,165.619,167.818,3.51624,167.819,175.823
17,1.5,1,0,25,11,17,3,1.0,16.0,176.82,177.818,177.835,177.835,179.352,179.352,3.0,2.14955,181.502,182.868,3.51616,182.869,183.873
18,1.5,1,10,23,4,18,1,1.0,17.0,184.87,185.868,185.885,185.885,187.402,187.402,2.0,1.64983,189.052,190.919,3.51704,190.92,191.924
19,1.5,1,5,17,3,19,1,1.0,18.0,192.92,193.918,193.935,193.935,195.451,195.451,2.0,1.80058,197.252,198.967,3.51644,198.968,199.972
20,1.5,3,6,19,9,20,2,1.0,19.0,200.969,201.968,201.985,201.985,203.501,203.502,3.0,1.63371,205.135,207.017,3.51626,207.018,210.022
21,4.5,5,7,15,3,21,2,1.0,20.0,211.019,212.018,212.035,212.035,216.552,216.552,2.0,1.61589,218.168,220.069,3.51722,220.07,225.074
22,1.5,3,1,15,7,22,1,1.0,21.0,226.07,227.068,227.085,227.085,228.601,228.602,3.0,1.43363,230.035,232.118,3.51654,232.118,235.123
