C:\Users\tuj55142\Documents\GitHub\istart\Mock_Scan\Social\USE THIS COPY\EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1.edat2
ExperimentName	Subject	Session	AmtWon	Clock.Information	DataFile.Basename	Display.RefreshRate	EasyKey	ExperimentVersion	Group	HardKey	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Amount	Choice	Completed	Decision.RT	Practice	Practice.Cycle	Practice.Sample	Probability	Procedure	Running	TapSpeed	Trials	Trials.Cycle	Trials.Sample	Winnings
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	1					1	1	1		WinPractice	Practice					
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	2					2	1	2		LosePractice	Practice					
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	3					3	1	3		LosePractice	Practice					
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	4					4	1	4		WinPractice	Practice					
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	5	5.30	2	1	6674				12	Lose	Trials	0.1827667	1	1	1	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	6	2.48	2	1	6469				50	Lose	Trials	0.1822333	2	1	2	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	7	4.99	2	1	6359				50	Lose	Trials	0.1916667	3	1	3	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	8	5.62	2	0	6535				88	Win	Trials	0.2592345	4	1	4	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	9	3.10	2	1	6624				12	Lose	Trials	0.1844333	5	1	5	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	1242	1	7	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25758728466667</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:23:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-1242-1	60.011	7	1.0.0.76	1	9	1810291565	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:23:08 PM	10:23:08	2.0.10.252	10	3.42	2	0	6672				88	Win	Trials	0.2529759	6	1	6	0
