TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,4,2,3,0.750000,1.0,0.0,4.066117,0.0,999.0,999.0,999.0,6.570013,7.5861616,3.5200448,7.5863714,8.337647
2,2,1,4,2,3,0.750000,1.0,1.0,8.380262,2.0,10.340262,1.96,3.0,10.899072,11.91185,3.5315876,11.912017,12.674542
3,3,1,4,2,1,0.750000,1.0,2.0,12.717116,2.0,14.076242,1.3591268,6.0,15.23493,16.249052,3.5319366,16.249224,17.01151
4,4,1,4,2,3,0.750000,1.0,3.0,17.057518,3.0,18.229343,1.1718267,9.0,19.57429,20.589348,3.5318298,20.58952,21.347929
5,5,1,4,2,3,0.750000,1.0,4.0,21.39033,3.0,22.465538,1.0752077,6.0,23.907942,24.916317,3.5259871,24.916498,25.66771
6,6,1,4,2,3,0.750000,1.0,5.0,25.710546,2.0,27.018696,1.3081498,1.0,28.22847,29.23799,3.5274422,29.238161,30.00376
7,7,1,4,2,3,0.750000,1.0,6.0,30.045595,2.0,31.171827,1.1262316,4.0,32.562588,33.573223,3.5276272,33.573387,34.32362
8,8,1,4,2,2,10,1.0,7.0,34.365192,2.0,34.774292,0.4090992,5.0,36.881706,37.895607,3.5304153,37.895775,47.899864
9,9,2,6,3,3,0.750000,1.0,8.0,48.00191,3.0,48.45064,0.4487279,6.0,50.519585,51.529278,3.5273657,51.529472,52.28627
10,10,2,6,3,3,0.750000,1.0,9.0,52.363907,2.0,53.120174,0.7562686,1.0,54.881107,55.889996,3.52609,55.89016,56.656067
11,11,2,6,3,2,0.750000,1.0,10.0,56.734142,2.0,57.040054,0.3059145,5.0,59.25221,60.26209,3.527948,60.262253,61.026
12,12,2,6,3,2,0.750000,1.0,11.0,61.10641,3.0,61.62664,0.52023,5.0,63.623432,64.63248,3.5260682,64.632645,65.395485
13,13,2,6,3,3,0.750000,1.0,12.0,65.47822,0.0,999.0,999.0,999.0,67.98133,68.99841,3.5201972,68.99858,69.748825
14,14,2,6,3,3,0.750000,1.0,13.0,69.828,0.0,999.0,999.0,999.0,72.33452,73.350395,3.5223925,73.350586,74.10184
15,15,2,6,3,3,0.750000,1.0,14.0,74.180305,--,--,--,--,--,--,--,--,--
16,16,2,6,3,3,10,0.0,--,--,--,--,--,--,--,--,--,--,--
17,17,3,3,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
18,18,3,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
19,19,3,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
20,20,3,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
21,21,3,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
22,22,3,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
23,23,3,3,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
24,24,3,3,2,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--
25,25,4,2,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
26,26,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
27,27,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
28,28,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
29,29,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
30,30,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
31,31,4,2,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
32,32,4,2,1,3,8,0.0,--,--,--,--,--,--,--,--,--,--,--
33,33,5,3,2,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
34,34,5,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
35,35,5,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
36,36,5,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
37,37,5,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
38,38,5,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
39,39,5,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
40,40,5,3,2,3,10,0.0,--,--,--,--,--,--,--,--,--,--,--
41,41,6,5,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
42,42,6,5,3,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
43,43,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
44,44,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
45,45,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
46,46,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
47,47,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
48,48,6,5,3,1,12,0.0,--,--,--,--,--,--,--,--,--,--,--
49,49,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
50,50,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
51,51,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
52,52,7,1,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
53,53,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
54,54,7,1,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
55,55,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
56,56,7,1,1,1,12,0.0,--,--,--,--,--,--,--,--,--,--,--
57,57,8,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
58,58,8,2,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
59,59,8,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
60,60,8,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
61,61,8,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
62,62,8,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
63,63,8,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
64,64,8,2,1,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--
65,65,9,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
66,66,9,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
67,67,9,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
68,68,9,1,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
69,69,9,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
70,70,9,1,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
71,71,9,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
72,72,9,1,1,1,12,0.0,--,--,--,--,--,--,--,--,--,--,--
