TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
48,48,6,5,3,1,12,1.0,47.0,--,--,250.54657,3.0,250.8936,0.3470379,1.0,253.0636,254.07231,3.5257385,254.0725,266.07285
49,49,7,1,1,1,0.750000,1.0,48.0,--,--,266.0779,3.0,266.65665,0.5787174,2.0,268.5957,269.60397,3.5260448,269.60416,270.3594
50,50,7,1,1,1,0.750000,1.0,49.0,--,--,270.36172,3.0,270.77682,0.41509962,2.0,272.87943,273.88687,3.5251663,273.88705,274.64633
51,51,7,1,1,1,0.750000,1.0,50.0,--,--,274.64868,2.0,274.997,0.3483266,6.0,277.1658,278.17438,3.5256963,278.1746,278.93317
52,52,7,1,1,2,0.750000,1.0,51.0,--,--,278.9355,3.0,279.2672,0.33172384,5.0,281.45294,282.46274,3.5272295,282.46292,283.22006
53,53,7,1,1,1,0.750000,1.0,52.0,--,--,283.2224,2.0,283.62073,0.39832932,8.0,285.73978,286.74963,3.5272403,286.74982,287.50717
54,54,7,1,1,2,0.750000,1.0,53.0,--,--,287.5095,3.0,287.87408,0.36459157,5.0,290.02698,291.03775,3.5282593,291.03793,291.7937
55,55,7,1,1,1,0.750000,1.0,54.0,--,--,291.79605,3.0,292.16107,0.36502448,2.0,294.313,295.32312,3.527071,295.3233,296.08075
56,56,7,1,1,1,12,1.0,55.0,--,--,296.08307,3.0,296.53146,0.4483945,1.0,298.6003,299.60913,3.526058,299.6093,311.61032
57,57,8,2,1,3,0.750000,1.0,56.0,--,--,311.61374,3.0,312.19415,0.5804236,7.0,314.13147,315.1413,3.5275517,315.14148,315.89713
58,58,8,2,1,2,0.750000,1.0,57.0,--,--,315.89948,2.0,316.3647,0.46522337,5.0,318.41663,319.42712,3.5276473,319.4273,320.1838
59,59,8,2,1,3,0.750000,1.0,58.0,--,--,320.1862,2.0,320.7513,0.5651014,4.0,322.70325,323.71317,3.526959,323.71335,324.47092
60,60,8,2,1,3,0.750000,1.0,59.0,--,--,324.47327,2.0,324.97168,0.49840355,2.0,326.99066,327.9983,3.525025,327.99847,328.7577
61,61,8,2,1,3,0.750000,1.0,60.0,--,--,328.76004,2.0,329.04156,0.28151163,1.0,331.2774,332.28516,3.5251062,332.28534,333.04468
62,62,8,2,1,3,0.750000,1.0,61.0,--,--,333.047,2.0,333.512,0.46501267,4.0,335.56305,336.57196,3.5249612,336.57214,337.33136
63,63,8,2,1,3,0.750000,1.0,62.0,--,--,337.33374,2.0,337.63202,0.2982883,4.0,339.8509,340.85895,3.525205,340.85913,341.6185
64,64,8,2,1,1,8,1.0,63.0,--,--,341.62082,2.0,342.0858,0.4649583,7.0,344.13947,345.15015,3.5293407,345.15033,353.16113
65,65,9,1,1,1,0.750000,1.0,64.0,--,--,353.1646,3.0,353.76193,0.59731346,2.0,355.68195,356.6903,3.5256927,356.6905,357.44806
66,66,9,1,1,1,0.750000,1.0,65.0,--,--,357.45038,2.0,357.732,0.2816016,7.0,359.9685,360.97684,3.5264583,360.97702,361.73505
67,67,9,1,1,1,0.750000,1.0,66.0,--,--,361.7374,3.0,362.15244,0.41505313,3.0,364.2547,365.26318,3.5258043,365.2634,366.022
68,68,9,1,1,2,0.750000,1.0,67.0,--,--,366.02432,3.0,366.37262,0.34828433,5.0,368.54187,369.55167,3.527331,369.5519,370.3087
69,69,9,1,1,1,0.750000,1.0,68.0,--,--,370.31104,2.0,370.62585,0.3148177,8.0,372.82828,373.8382,3.5271518,373.83838,374.5956
70,70,9,1,1,2,0.750000,1.0,69.0,--,--,374.59793,3.0,374.64624,0.048295606,5.0,377.11478,378.1252,3.5272841,378.12543,378.88232
71,71,9,1,1,1,0.750000,1.0,70.0,--,--,378.88483,3.0,379.1331,0.24824181,2.0,381.40152,382.41098,3.5261464,382.41116,383.16943
72,72,9,1,1,1,12,1.0,71.0,--,--,383.17184,2.0,383.43658,0.26475403,7.0,385.6893,386.69678,3.5249398,386.697,398.69894
