TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,19,4,2,4,1,1.0,0.0,6.003136,6.018618,6.0188127,8.03426,8.0344515,2.0,127.85285,135.8873,136.40332,128.36938,136.404,140.40685
2,2,1,15,8,2,5,1,1.0,1.0,142.4022,142.41888,142.41904,144.4367,144.43686,--,--,--,--,--,--,--
3,3,2,15,8,3.5,3,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,3,15,2,3.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,2,19,2,2,9,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,1,25,6,3.5,11,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,1,19,2,2,9,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,3,15,4,2,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,1,15,2,3.5,1,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,1,19,2,2,4,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,3,15,2,5,3,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,2,19,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,1,19,6,3.5,4,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,2,23,8,2,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3,23,2,5,10,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3,15,4,2,7,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,1,19,2,2,6,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,3,19,2,5,9,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,2,21,2,5,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,3,21,4,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,3,25,4,2,5,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,3,25,4,5,2,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,2,17,6,3.5,5,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,3,21,2,5,4,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,3,21,2,3.5,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,2,19,4,2,1,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,2,17,6,2,8,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,1,21,2,2,7,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,2,19,2,2,6,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,2,15,4,3.5,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,2,21,4,3.5,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,3,17,2,3.5,5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,1,19,2,2,9,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,21,6,2,9,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,1,19,4,2,1,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,1,21,2,2,4,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
