TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,2,17,2,0.5,8,3,1.0,0.0,6.0002866,6.0170627,6.0172677,6.5349164,6.535096,3.0,2.1319568,8.667053,9.183941,2.6493876,9.184651,11.187887
2,2,2,19,2,0.5,9,6,1.0,1.0,13.183231,13.199414,13.199614,13.716233,13.716373,3.0,2.3497424,16.066116,16.582306,2.8663435,16.582851,18.585756
3,3,2,21,2,0.5,7,1,1.0,2.0,20.58197,20.599016,20.599173,21.115932,21.116074,3.0,4.849052,25.965124,26.481266,5.3655725,26.481808,28.485394
4,4,1,19,2,0.5,6,1,1.0,3.0,30.480598,30.497103,30.497253,31.01422,31.014362,2.0,10.098935,41.113297,41.629772,10.615831,41.63033,43.63344
5,5,2,25,8,2,11,2,1.0,4.0,45.628925,45.645996,45.646175,47.662273,47.66241,3.0,1.0167592,48.67917,49.196033,1.5340251,49.19657,57.19961
6,6,1,19,2,0.5,1,6,1.0,5.0,59.194363,59.210815,59.21097,59.727486,59.727627,3.0,1.0334891,60.761116,61.277607,1.5503602,61.27812,63.281414
7,7,1,19,4,0.5,6,4,1.0,6.0,65.2769,65.29366,65.293816,65.80989,65.81003,2.0,2.133501,67.94353,68.459755,2.650102,68.460266,72.46324
8,8,2,21,4,3.5,4,9,1.0,7.0,74.4523,74.494225,74.49478,78.02595,78.026085,--,--,--,--,--,--,--
9,9,3,19,6,0.5,9,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,3,15,2,2,7,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,1,17,2,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,1,19,2,2,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,2,21,4,0.5,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,1,19,4,3.5,4,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3,21,2,0.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3,17,4,0.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,3,25,2,3.5,11,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,3,23,8,0.5,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,1,23,2,0.5,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,17,8,0.5,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,2,15,4,0.5,5,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,1,21,4,0.5,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,2,23,2,3.5,4,10,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,2,19,2,0.5,4,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,3,23,2,2,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,3,21,4,0.5,4,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,1,17,2,2,8,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,2,21,6,3.5,7,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,3,19,6,3.5,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,3,15,6,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3,19,6,2,1,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,1,25,2,0.5,2,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,25,2,0.5,11,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,1,19,4,2,9,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,1,23,4,2,1,10,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,3,25,2,0.5,5,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
