TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
1,1,2,21,2,2,9,7,1.0,0.0,5.9969473,6.0136623,6.013988,8.030323,8.030509,2.0,2.632977,10.663486,11.179534,3.149572,11.180244,13.18367,--
2,2,1,15,2,2,3,7,1.0,1.0,15.179703,15.195818,15.196023,17.212915,17.213062,3.0,1.5997524,18.812815,19.328817,2.116145,19.32934,21.332512,--
3,3,3,25,2,3.5,11,8,1.0,2.0,23.32855,23.345257,23.345348,26.861824,26.861975,3.0,0.8329305,27.694904,28.211433,1.3498472,28.211964,30.215166,21.333988
4,4,1,17,2,2,3,8,1.0,3.0,32.210667,32.227325,32.227543,34.244583,34.24473,3.0,1.3659676,35.6107,36.127266,1.8829201,36.127785,38.13114,--
5,5,1,17,2,2,3,1,1.0,4.0,40.126472,40.14299,40.14323,42.16049,42.16064,2.0,1.1990812,43.35972,43.87615,1.7159407,43.876713,45.879845,--
6,6,3,21,2,2,4,9,1.0,5.0,47.875797,47.892384,47.892452,49.908493,49.908646,3.0,1.2517753,51.16042,51.674576,1.7663261,51.675117,53.678516,45.881294
7,7,2,25,8,2,2,5,1.0,6.0,55.67462,55.69126,55.691517,57.707436,57.70758,2.0,1.200375,58.907955,59.424515,1.7173091,59.425026,67.42812,--
8,8,1,23,4,2,1,4,1.0,7.0,69.423256,69.43974,69.44005,71.456085,71.45623,3.0,1.9166421,73.37287,73.88861,2.4327755,73.88919,77.89298,--
9,9,2,25,6,3.5,8,5,1.0,8.0,79.88861,79.90498,79.90524,83.42234,83.42249,3.0,1.0994128,84.521904,85.03838,1.6162808,85.03891,91.04191,--
10,10,2,23,6,5,4,7,1.0,9.0,93.03686,93.0538,93.053986,98.07099,98.07117,2.0,1.4820311,99.55319,100.07009,1.9993298,100.07063,106.07402,--
11,11,3,15,2,2,3,7,1.0,10.0,108.06888,108.08553,108.0856,110.10202,110.10217,3.0,1.3162832,111.41846,111.934814,1.8330674,111.93537,113.93871,106.07697
12,12,3,21,6,5,4,1,1.0,11.0,115.93446,115.95124,115.95131,120.96827,120.968414,3.0,0.6658827,121.63429,122.150475,1.1824528,122.15101,128.15459,113.94119
13,13,1,19,4,2,9,4,1.0,12.0,130.14845,130.16513,130.1653,132.18217,132.18234,2.0,2.1163454,134.29869,134.81436,2.6324012,134.81488,138.81854,--
