TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
1,1,2,21,4,2,9,7,1.0,0.0,5.997621,6.0142026,6.01451,8.030502,8.030701,3.0,28.996899,37.0276,37.544605,29.514433,37.545303,41.54763,--
2,2,3,21,2,5,9,7,1.0,1.0,43.543224,43.559658,43.559776,48.57615,48.57631,--,--,--,--,--,--,--,41.55304
3,3,1,17,6,2,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,1,19,4,2,4,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,3,23,4,3.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3,15,4,2,3,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,2,17,2,5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,3,17,8,3.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,1,19,2,2,1,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,1,23,2,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,2,17,2,2,8,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,2,21,8,5,7,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,2,15,6,2,7,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,2,25,8,5,8,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,1,15,6,3.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3,21,4,3.5,1,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,1,15,2,3.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,3,25,2,2,5,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,3,23,2,3.5,10,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,21,6,2,9,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,1,17,2,2,1,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,1,23,2,3.5,10,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,2,15,2,2,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,2,17,2,5,3,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,3,25,2,3.5,8,11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,3,25,4,2,11,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,2,17,4,3.5,3,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,2,23,2,2,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,3,21,2,3.5,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,1,25,4,2,2,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,23,4,2,10,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,3,21,2,5,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,15,6,2,1,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,1,25,2,2,8,11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,3,23,2,2,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,1,21,4,2,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
