onset	duration	condition	resp	rt
0.6558700000023236	3.0	face	999	999
3.691324600004009	0.6	Fixation_ant	999	999
4.297010399997816	1.0	win	999	999
10.675892600003863	3.0	face	999	999
13.708883600003901	0.6	Fixation_ant	999	999
14.314079200004926	1.0	loss	999	999
16.466048000002047	3.0	face	999	999
19.501619300004677	0.6	Fixation_ant	999	999
20.105974799997057	1.0	win	999	999
22.288188799997442	3.0	face	999	999
25.323754400000325	0.6	Fixation_ant	999	999
25.92804359999718	1.0	win	999	999
30.21771890000673	3.0	face	999	999
33.253277399999206	0.6	Fixation_ant	999	999
33.85860760000651	1.0	loss	999	999
40.211925299998256	3.0	face	999	999
43.24792409999645	0.6	Fixation_ant	999	999
43.85255700000562	1.0	loss	999	999
48.104971699998714	3.0	face	999	999
51.138882700004615	0.6	Fixation_ant	999	999
51.74380110000493	1.0	win	999	999
56.0279642999958	3.0	face	999	999
59.063991000002716	0.6	Fixation_ant	999	999
59.670029600005364	1.0	loss	999	999
61.84664089999569	3.0	face	999	999
64.8807744000078	0.6	Fixation_ant	999	999
65.48619870000402	1.0	win	999	999
67.67487859999528	3.0	face	999	999
70.71009279999998	0.6	Fixation_ant	999	999
71.3146870000055	1.0	win	999	999
73.49479759999667	3.0	face	999	999
76.52873410000757	0.6	Fixation_ant	999	999
77.1336439000006	1.0	loss	999	999
81.39848889999848	3.0	face	999	999
84.43151439999929	0.6	Fixation_ant	999	999
85.03644189999613	1.0	loss	999	999
87.19989770000393	3.0	face	999	999
90.23545140000351	0.6	Fixation_ant	999	999
90.84051320000435	1.0	win	999	999
97.22486590000335	3.0	face	999	999
100.25904770000488	0.6	Fixation_ant	999	999
100.86452630000713	1.0	win	999	999
103.03456280000682	3.0	face	999	999
106.06793770000513	0.6	Fixation_ant	999	999
106.67291619999742	1.0	win	999	999
113.04086010000901	3.0	face	999	999
116.07401340000797	0.6	Fixation_ant	999	999
116.67909730000247	1.0	win	999	999
120.96819379999943	3.0	face	999	999
124.00369789999968	0.6	Fixation_ant	999	999
124.60841519999667	1.0	win	999	999
128.88094020000426	3.0	face	999	999
131.91455889999634	0.6	Fixation_ant	999	999
132.51959939999506	1.0	win	999	999
136.8029433000047	3.0	face	999	999
139.83658000000287	0.6	Fixation_ant	999	999
140.44238700000278	1.0	win	999	999
153.11121230000572	3.0	face	999	999
156.14724869999918	0.6	Fixation_ant	999	999
156.75155450000602	1.0	loss	999	999
163.11416230000032	3.0	face	999	999
166.1474232000037	0.6	Fixation_ant	999	999
166.7524989000085	1.0	win	999	999
173.1281655000057	3.0	face	999	999
