TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,0.6,5.3,win,M111.jpg,M25.jpg,1.0,0.0,0.65587,999.0,999.0,999.0,3.6906397,3.03528,3.6913247,0.6,4.2970104,5.309118,5.3094583,10.627655,2019-11-26 14:35:01.762468
2,2,0.6,1.1,loss,M109.jpg,M39.jpg,1.0,1.0,10.675893,999.0,999.0,999.0,13.708367,3.0328553,13.708883,0.6,14.314079,15.319127,15.319362,16.424852,2019-11-26 14:35:07.559515
3,3,0.6,1.1,win,M95.jpg,M65.jpg,1.0,2.0,16.466047,999.0,999.0,999.0,19.501104,3.0354297,19.50162,0.6,20.105974,21.115686,21.116014,22.23176,2019-11-26 14:35:13.366470
4,4,0.6,3.2,win,F61.jpg,F13.jpg,1.0,3.0,22.288189,999.0,999.0,999.0,25.32327,3.035437,25.323755,0.6,25.928043,26.937181,26.937418,30.159758,2019-11-26 14:35:21.294632
5,5,0.6,5.3,loss,F115.jpg,F39.jpg,1.0,4.0,30.217718,999.0,999.0,999.0,33.252735,3.0354111,33.253277,0.6,33.85861,34.863205,34.86344,40.168015,2019-11-26 14:35:31.303637
6,6,0.6,3.2,loss,M33.jpg,M113.jpg,1.0,5.0,40.211926,999.0,999.0,999.0,43.247406,3.035851,43.247925,0.6,43.85256,44.858055,44.85829,48.06338,2019-11-26 14:35:39.198222
7,7,0.6,3.2,win,M101.jpg,M97.jpg,1.0,6.0,48.104973,999.0,999.0,999.0,51.13837,3.0337741,51.13888,0.6,51.7438,52.75274,52.75301,55.97247,2019-11-26 14:35:47.107171
8,8,0.6,1.1,loss,F07.jpg,F15.jpg,1.0,7.0,56.027966,999.0,999.0,999.0,59.063477,3.0358894,59.06399,0.6,59.67003,60.674934,60.675167,61.780663,2019-11-26 14:35:52.915414
9,9,0.6,1.1,win,F47.jpg,F63.jpg,1.0,8.0,61.84664,999.0,999.0,999.0,64.88026,3.033978,64.880775,0.6,65.4862,66.49593,66.4962,67.611946,2019-11-26 14:35:58.747572
10,10,0.6,1.1,win,F45.jpg,F71.jpg,1.0,9.0,67.67488,999.0,999.0,999.0,70.709564,3.0350788,70.71009,0.6,71.31469,72.32424,72.32451,73.440254,2019-11-26 14:36:04.575087
11,11,0.6,3.2,loss,F05.jpg,F11.jpg,1.0,10.0,73.4948,999.0,999.0,999.0,76.52803,3.0337343,76.52873,0.6,77.133644,78.1385,78.13873,81.34392,2019-11-26 14:36:12.478671
12,12,0.6,1.1,loss,M13.jpg,M27.jpg,1.0,11.0,81.39849,999.0,999.0,999.0,84.43101,3.0328898,84.43151,0.6,85.036446,86.04135,86.04158,87.14768,2019-11-26 14:36:18.282425
13,13,0.6,5.3,win,M29.jpg,M87.jpg,1.0,12.0,87.1999,999.0,999.0,999.0,90.23494,3.0354173,90.23545,0.6,90.840515,91.84963,91.84989,97.174095,2019-11-26 14:36:28.308910
14,14,0.6,1.1,win,M35.jpg,M03.jpg,1.0,13.0,97.22487,999.0,999.0,999.0,100.258415,3.0339878,100.25905,0.6,100.864525,101.87352,101.87377,102.98222,2019-11-26 14:36:34.116909
15,15,0.6,5.3,win,F73.jpg,F55.jpg,1.0,14.0,103.03456,999.0,999.0,999.0,106.06743,3.033238,106.06794,0.6,106.67291,107.68206,107.68232,112.99374,2019-11-26 14:36:44.128601
16,16,0.6,3.2,win,M77.jpg,M59.jpg,1.0,15.0,113.04086,999.0,999.0,999.0,116.0735,3.033013,116.07401,0.6,116.6791,117.687996,117.68826,120.902824,2019-11-26 14:36:52.037543
17,17,0.6,3.2,win,F41.jpg,F87.jpg,1.0,16.0,120.96819,999.0,999.0,999.0,124.00318,3.0353682,124.0037,0.6,124.60841,125.618256,125.618546,128.82895,2019-11-26 14:36:59.963678
18,18,0.6,3.2,win,M117.jpg,M67.jpg,1.0,17.0,128.88094,999.0,999.0,999.0,131.91405,3.0334756,131.91457,0.6,132.51959,133.52893,133.52922,136.73929,2019-11-26 14:37:07.874155
19,19,0.6,11.6,win,F57.jpg,F31.jpg,1.0,18.0,136.80295,999.0,999.0,999.0,139.83604,3.033493,139.83658,0.6,140.44238,141.45197,141.45221,153.06657,2019-11-26 14:37:24.201241
20,20,0.6,5.3,loss,M71.jpg,M31.jpg,1.0,19.0,153.1112,999.0,999.0,999.0,156.14673,3.0358922,156.14725,0.6,156.75156,157.7567,157.75693,163.06157,2019-11-26 14:37:34.196301
21,21,0.6,5.3,win,M21.jpg,M19.jpg,1.0,20.0,163.11417,999.0,999.0,999.0,166.14691,3.0331216,166.14743,0.6,166.7525,167.76118,167.76146,173.07748,2019-11-26 14:37:44.212138
22,22,0.6,3.2,loss,M09.jpg,M83.jpg,1.0,21.0,173.12816,999.0,999.0,999.0,176.16165,3.0338712,176.16219,0.6,176.76724,177.7718,177.77205,180.97693,2019-11-26 14:37:52.111695
23,23,0.6,1.1,loss,M91.jpg,M17.jpg,1.0,22.0,181.02876,999.0,999.0,999.0,184.06241,3.0340314,184.06294,0.6,184.66867,185.67401,185.67424,186.78004,2019-11-26 14:37:57.914782
24,24,0.6,1.1,loss,F59.jpg,F89.jpg,1.0,23.0,186.8348,999.0,999.0,999.0,189.8678,3.0333927,189.86832,0.6,190.4735,191.47867,191.47891,192.5851,2019-11-26 14:38:03.719802
25,25,0.6,5.3,win,F35.jpg,F83.jpg,1.0,24.0,192.64677,999.0,999.0,999.0,195.68077,3.034366,195.6813,0.6,196.2855,197.29417,197.29445,202.60379,2019-11-26 14:38:13.738527
