TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,25,5,3,5,8,1.0,0.0,4.007292,5.0138083,6.025938,6.0260944,9.03158,9.031741,999.0,999.0,999.0,12.032632,3.5183482,12.550319,17.555696
2,2,1,19,3,1.5,6,4,1.0,1.0,17.558065,18.563543,19.573442,19.573568,21.079279,21.079409,3.0,1.1774552,22.256865,24.595707,3.5169232,24.596466,27.601984
3,3,1,17,1,3,8,1,1.0,2.0,27.604544,28.611,29.620232,29.620356,32.62591,32.626038,3.0,1.1053288,33.73137,36.142624,3.517215,36.143387,37.148636
4,4,2,15,1,1.5,5,1,1.0,3.0,37.149944,38.15517,39.163654,39.16381,40.669205,40.66934,3.0,1.6181895,42.28753,44.186024,3.517282,44.186756,45.192207
5,5,1,25,5,4.5,5,8,1.0,4.0,45.194782,46.199863,47.208347,47.208473,51.71408,51.71421,2.0,1.1638896,52.878098,55.231834,3.518281,55.23261,60.237602
6,6,2,17,8,4.5,1,3,1.0,5.0,60.239166,61.244587,62.252476,62.25263,66.7581,66.75823,2.0,0.9469354,67.70517,70.27531,3.5176754,70.27603,78.28113
7,7,3,25,8,3,0,11,1.0,6.0,78.28348,79.28912,80.298035,80.29809,83.303665,83.303825,3.0,2.4813466,85.78517,86.820404,3.5171964,86.82115,94.826614
8,8,2,23,1,4.5,7,10,1.0,7.0,94.82883,95.83401,96.84227,96.84242,101.348,101.34813,--,--,--,--,--,--,--
9,9,2,17,3,3,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,3,17,3,1.5,0,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,1,19,8,1.5,4,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,3,21,1,1.5,0,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,1,23,3,1.5,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,3,17,3,3,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3,15,3,1.5,0,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,2,21,1,3,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,1,21,3,1.5,1,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,1,25,1,1.5,11,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,3,21,5,4.5,7,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,1,23,1,3,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,1,25,1,4.5,11,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,2,25,1,1.5,8,11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,3,17,1,3,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,2,19,5,1.5,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,3,25,1,1.5,8,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,1,19,3,3,1,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,3,25,1,3,8,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,2,17,1,4.5,8,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,3,21,5,1.5,7,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,2,19,1,1.5,9,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3,25,1,1.5,5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,2,19,3,1.5,9,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,3,25,1,1.5,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,21,1,1.5,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,1,17,1,1.5,5,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,2,15,3,1.5,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
