Trial,Endowment,Choice
1,15,7
3,21,9
7,25,11
8,17,3
18,25,8
20,23,10
27,17,5
28,25,11
29,19,6
31,21,7
33,23,10
35,19,6
1,17,3
6,17,1
7,21,4
8,25,8
9,19,4
17,21,1
18,23,1
21,19,1
23,25,2
29,21,1
31,25,2
32,17,1
