Trial,Endowment,Choice
2,23,7
5,17,5
10,25,11
11,17,8
14,23,7
17,25,11
20,15,3
22,23,10
24,23,10
26,23,7
31,23,4
36,23,10
3,25,2
5,23,4
6,19,1
10,25,2
12,19,6
13,23,1
17,21,7
23,23,1
24,17,1
30,15,3
31,19,4
35,15,3
