Trial,Endowment,Choice
1,23,10
3,15,5
5,19,6
9,19,6
12,15,5
15,17,5
22,15,7
24,19,9
26,15,3
27,25,5
31,15,7
33,23,10
1,17,1
2,17,3
4,17,5
9,21,1
15,19,6
16,15,1
17,19,6
21,19,1
24,15,1
28,15,5
29,21,1
31,19,1
