Subject,Ones,PNR Score
1002,1,41
1004,1,30
1006,1,33
1007,1,36
1009,1,35
1011,1,38
1012,1,33
1013,1,42
1015,1,38
1016,1,37
1019,1,35
1021,1,36
1240,1,33
1242,1,44
1243,1,38
1245,1,37
1247,1,41
1248,1,39
1249,1,34
1251,1,38
1276,1,42
1282,1,39
1294,1,36
1300,1,32
1301,1,34
1302,1,42
1303,1,35
3116,1,35
3122,1,36
3140,1,40
3143,1,35
3164,1,38
3170,1,36
3173,1,36
3175,1,29
3176,1,41
3189,1,42
3190,1,32
3200,1,35
