Subject,Ones,Demeaned EI Score
1002,1,4.25641025641026
1004,1,-6.74358974358974
1006,1,-3.74358974358974
1007,1,-0.743589743589745
1009,1,-1.74358974358974
1011,1,1.25641025641026
1012,1,-3.74358974358974
1013,1,5.25641025641026
1015,1,1.25641025641026
1016,1,0.256410256410255
1019,1,-1.74358974358974
1021,1,-0.743589743589745
1240,1,-3.74358974358974
1242,1,7.25641025641026
1243,1,1.25641025641026
1245,1,0.256410256410255
1247,1,4.25641025641026
1248,1,2.25641025641026
1249,1,-2.74358974358974
1251,1,1.25641025641026
1276,1,5.25641025641026
1282,1,2.25641025641026
1294,1,-0.743589743589745
1300,1,-4.74358974358974
1301,1,-2.74358974358974
1302,1,5.25641025641026
1303,1,-1.74358974358974
3116,1,-1.74358974358974
3122,1,-0.743589743589745
3140,1,3.25641025641026
3143,1,-1.74358974358974
3164,1,1.25641025641026
3170,1,-0.743589743589745
3173,1,-0.743589743589745
3175,1,-7.74358974358974
3176,1,4.25641025641026
3189,1,5.25641025641026
3190,1,-4.74358974358974
3200,1,-1.74358974358974
