Subjects,UG_P,DG_P,UG_R
1002,113.226848174104,189,47
1004,87.1864396933273,150,43
1006,106.304717771169,172.5,44
1007,95.7849640724843,176.5,38
1009,99.9378803970691,166.5,39
1010,107.955780675343,184,33
1011,77.3982932526473,178,61.5
1012,122.297653580913,181,34
1013,117.696764806637,170,51
1015,99.8512394832339,182.5,56.5
1016,105.41625620468,191,42.5
1019,102.12263854856,158,46
1021,111.154647017164,173.5,28
1240,11.4432339244933,173.5,97.5
1242,83.3081108594707,189.5,21
1243,97.5248906283471,180.5,51.5
1244,86.65164372913,174.5,53.5
1245,109.116085875961,162,61.5
1247,112.040663519606,179,34
1248,14.4944594663066,179,90
1249,136.852688952107,184.5,44
1251,130.089003808905,181.5,48
1253,99.959333317556,167.5,31.5
1255,109.534634952275,193.5,48.5
1276,92.2266429032772,162,52
1282,119.790697491058,183.5,60.5
1286,112.670729040612,164,42
1294,102.658550349245,199,57.5
1300,86.7337444189816,201.5,41.5
1301,98.7836770602264,160,40
1302,98.9594897612586,184.5,54.5
1303,104.615708822336,177.5,60.5
3101,105.137101172075,174.5,59
3116,114.343935227306,169,67
3122,106.207708335181,170.5,69
3125,116.300792097867,181.5,26.5
3140,108.7469392401,173.5,47.5
3143,113.336814148024,186.5,38
3152,64.7513528944729,172,42.5
3164,110.360897964876,181.5,51
3166,112.324552361308,176.5,39.5
3167,105.64999497443,170,37
3170,87.5077841622216,177.5,36
3173,98.2048140030477,188,31.5
3175,112.877700289275,200,52
3176,129.88584447937,173,44
3189,132.363980616374,180,41.5
3190,109.406916750537,181.5,39
3200,106.59198064342,162.5,46.5
3212,124.601027747737,196,45
