Trial,Endowment,Choice
2,25,8
12,21,9
21,19,9
23,15,5
30,25,8
31,19,6
33,25,8
35,15,5
7,21,7
15,19,9
20,25,11
21,19,6
22,25,8
23,25,8
30,17,5
33,25,5
35,19,6
