Trial,Endowment,Choice
3,23,10
5,23,7
6,17,5
18,15,3
20,21,9
21,19,9
24,25,11
26,15,7
28,23,10
29,15,5
33,21,7
35,15,5
3,15,3
5,19,1
10,19,1
13,19,4
15,19,4
21,15,1
22,21,4
24,23,7
25,23,4
31,25,8
32,17,1
34,17,5
