Trial,Endowment,Choice
2,25,11
4,15,5
5,19,1
6,19,9
11,15,3
12,17,5
25,21,9
35,25,8
5,19,4
13,17,3
17,15,7
19,19,9
21,15,1
24,21,9
26,15,1
