Trial,Endowment,Choice
3,15,3
4,15,1
7,15,1
8,15,7
9,19,1
13,15,7
15,21,1
17,25,5
22,19,1
29,25,2
36,21,4
1,15,5
3,25,8
4,15,3
6,17,5
8,15,5
11,15,3
12,25,5
13,15,7
18,25,11
24,19,6
25,21,7
32,19,9
