Subject,EI Score
1002,113
1004,193
1006,147
1007,137
1009,174
1010,95
1011,141
1012,189
1013,157
1015,141
1016,126
1019,155
1021,150
1240,127
1242,145
1243,144
1243,144
1245,149
1247,157
1248,121
1249,139
1251,173
1251,173
1251,173
1276,109
1282,148
1282,148
1294,183
1300,117
1301,165
1302,153
1303,126
1303,126
3116,156
3122,145
3122,145
3140,133
3143,166
3143,166
3164,168
3166,126
3166,126
3170,142
3173,127
3175,124
3176,160
3189,130
3190,107
3200,126
3212,157
