Trial,Endowment,Choice
1,15,5
2,19,6
11,25,11
13,23,7
14,19,6
15,23,7
17,21,9
18,19,4
19,15,7
20,21,7
21,19,9
25,21,9
2,19,1
10,15,1
11,23,1
12,19,1
16,19,6
18,23,4
19,19,6
20,25,5
28,15,1
32,23,7
34,19,6
35,25,2
