participant_id,tei_q1,tei_q2,tei_q3,tei_q4,tei_q5,tei_q6,tei_q7,tei_q8,tei_q9,tei_q10,tei_q11,tei_q12,tei_q13,tei_q14,tei_q15,tei_q16,tei_q17,tei_q18,tei_q19,tei_q20,tei_q21,tei_q22,tei_q23,tei_q24,tei_q25,tei_q26,tei_q27,tei_q28,tei_q29,tei_q30
1001,2,2,3,5,7,5,5,6,6,2,1,7,2,5,2,1,5,3,1,2,2,6,6,4,6,6,2,5,6,2
1002,1,4,5,3,2,2,5,4,4,7,3,5,4,3,5,6,4,3,2,4,4,5,6,4,5,5,5,5,6,4
1003,1,3,6,6,2,5,4,2,4,1,6,2,1,1,4,2,2,4,4,4,5,2,6,3,1,1,4,2,3,4
1004,7,1,7,3,1,6,2,2,7,1,7,1,1,1,6,1,4,2,7,7,6,2,6,7,2,1,7,2,6,6
1006,5,3,5,2,1,5,6,3,5,5,4,2,1,3,7,6,5,5,5,6,3,2,6,5,5,5,7,5,6,7
1007,3,3,5,4,3,5,5,5,5,4,5,2,4,3,5,5,5,3,5,6,5,4,5,6,5,5,6,4,5,5
1009,5,2,6,2,1,6,3,2,6,3,4,1,1,2,6,1,6,2,6,7,5,5,6,7,4,3,7,1,5,5
1010,1,4,5,7,5,3,6,7,4,7,3,7,1,1,6,7,2,6,1,5,7,6,1,3,6,5,2,4,6,5
1011,7,1,5,5,1,4,5,3,7,5,3,1,1,5,6,7,7,3,3,5,4,5,3,7,5,3,7,6,5,4
1012,7,2,7,2,1,7,2,2,7,2,5,1,1,2,6,1,7,1,7,7,5,1,6,7,7,3,7,1,7,6
1013,6,2,6,2,1,5,5,2,6,5,5,2,2,3,5,2,5,2,5,7,3,4,6,6,4,3,6,2,4,3
1015,5,2,5,4,3,4,4,4,5,4,4,2,4,3,5,4,5,3,4,5,5,4,4,5,2,3,6,4,5,4
1016,2,4,5,4,1,4,5,4,4,3,4,1,1,4,4,6,3,4,4,4,4,5,5,4,3,4,4,4,4,4
1018,7,4,7,4,2,5,3,5,7,1,5,1,1,5,3,1,5,2,3,6,6,2,6,7,2,3,7,1,6,3
1019,3,2,5,3,2,7,5,6,5,1,4,2,1,2,5,5,5,3,6,5,5,3,6,5,1,3,5,2,5,5
1021,7,2,7,2,5,2,2,3,7,2,7,7,2,3,6,3,6,6,7,4,7,6,3,6,5,3,6,2,6,2
1240,3,4,7,3,4,5,5,4,6,4,6,5,2,5,2,5,4,1,3,4,6,6,3,7,4,4,4,4,6,1
1242,2,1,7,5,4,6,5,2,7,5,5,3,1,5,5,3,5,1,5,3,3,6,3,7,3,5,5,1,7,5
1243,3,4,6,4,2,5,3,2,5,6,4,2,3,3,4,4,5,3,5,5,5,4,5,5,3,3,6,2,5,4
1245,5,4,7,3,3,5,3,3,5,6,3,2,1,5,6,2,4,3,6,6,6,3,2,5,4,4,5,3,7,6
1247,7,1,5,7,6,7,2,1,6,1,7,2,1,5,2,1,6,5,4,6,7,6,5,5,1,1,3,1,7,1
1248,5,5,3,3,3,5,3,6,6,6,3,6,3,2,5,6,2,6,5,5,5,4,3,5,4,4,5,6,4,7
1249,2,5,6,3,2,5,3,5,5,2,3,2,2,4,5,5,5,2,6,6,3,5,3,5,3,5,5,2,5,5
1251,6,2,7,1,2,6,1,1,6,3,5,1,2,2,6,6,6,2,6,6,4,1,4,5,3,4,6,1,7,5
1276,2,6,4,6,2,2,2,5,5,4,3,2,3,6,3,4,1,6,2,6,5,6,4,5,2,3,4,4,2,2
1282,7,2,7,3,2,5,6,5,5,6,6,4,2,3,5,1,5,2,3,5,5,7,7,5,2,3,5,1,6,1
1294,7,1,6,2,1,7,3,2,6,4,5,1,1,2,4,1,7,2,6,7,7,3,6,7,4,2,6,1,6,6
1300,4,1,1,4,6,4,6,4,5,4,4,4,5,5,2,4,6,6,6,5,5,6,6,6,6,6,5,6,6,5
1301,5,2,5,3,2,6,5,2,6,2,5,2,1,5,4,3,5,2,5,6,7,3,4,5,1,2,6,1,6,6
1302,7,4,7,3,2,5,3,2,7,2,2,2,3,3,5,3,3,5,6,4,6,2,4,6,3,2,5,4,5,4
1303,6,2,3,5,4,3,5,2,5,3,4,5,2,3,5,2,5,5,4,4,2,2,5,4,5,3,4,6,5,1
3116,4,2,7,3,1,7,4,3,7,5,4,1,1,4,6,5,6,1,4,7,5,4,5,7,6,4,6,2,4,3
3122,1,1,5,3,3,6,3,7,7,2,5,5,1,1,6,6,6,1,7,5,5,5,6,6,7,2,2,6,6,5
3140,5,2,4,4,2,5,6,3,5,3,5,3,2,3,3,2,7,7,2,5,3,6,4,5,4,3,5,1,4,2
3143,6,1,5,2,1,5,2,2,5,2,4,2,2,4,5,1,7,3,6,7,5,2,5,6,4,4,6,2,4,4
3146,3,3,6,5,4,5,5,5,5,5,5,5,2,5,4,5,4,5,4,3,4,4,3,4,5,3,5,3,5,3
3164,7,3,5,2,2,7,5,4,7,5,7,1,2,4,3,1,3,5,7,7,7,4,4,7,2,1,6,1,7,6
3166,3,4,3,5,3,3,5,3,3,4,5,5,4,3,6,5,5,5,5,6,4,5,3,4,3,3,6,3,5,5
3170,5,3,4,5,2,5,6,1,4,3,4,2,1,2,6,3,5,3,6,6,4,5,3,4,5,3,5,2,3,4
3173,2,1,2,3,4,4,7,5,5,3,5,2,4,5,4,3,4,5,2,5,6,7,4,5,3,5,6,2,5,7
3175,5,3,2,2,4,5,5,2,4,3,2,3,3,3,4,6,5,6,5,4,5,5,3,2,2,4,3,3,4,5
3176,2,1,7,4,2,6,3,2,6,6,4,1,1,2,5,6,7,2,6,5,7,5,3,5,4,2,6,2,7,7
3186,4,3,4,6,3,6,6,7,5,5,5,4,2,3,4,3,5,5,3,5,4,5,3,5,3,3,5,2,4,5
3189,6,2,3,5,5,6,4,2,5,5,6,4,1,6,2,4,6,6,3,3,6,5,6,5,5,3,2,2,6,4
3190,1,1,4,7,2,2,7,7,7,5,5,5,6,6,1,7,6,7,5,4,1,1,1,7,6,1,7,7,5,6
3199,4,2,2,2,5,2,4,5,2,2,3,1,2,5,2,2,5,2,2,1,2,2,6,3,5,6,4,3,2,1
3200,3,2,4,5,2,5,4,6,6,6,3,2,2,5,4,6,2,3,6,7,5,5,2,4,7,5,7,2,5,5
3206,2,2,3,2,4,6,5,5,4,2,3,3,4,6,1,7,5,2,6,4,2,1,6,4,6,3,5,2,3,6
3210,7,1,6,4,2,6,3,2,6,2,7,1,1,2,4,1,5,2,4,6,6,1,5,6,1,1,5,1,6,3
3212,7,2,4,3,2,6,4,2,5,3,5,3,1,2,5,5,7,3,5,4,6,4,7,5,5,3,5,2,5,5
3220,6,5,4,5,3,5,5,3,5,2,6,3,3,2,5,3,5,5,5,4,5,5,5,6,3,3,5,4,5,6
