Trial,Endowment,Choice
7,23,10
8,19,4
9,25,8
10,25,8
12,19,9
16,15,7
17,21,7
19,19,6
28,15,1
35,25,8
1,21,9
5,23,7
6,25,5
8,17,1
9,25,11
11,19,6
14,19,9
22,25,8
28,23,1
33,19,9
36,21,4
