Var1	Var2	trial_type	rt	Var5	Var6
0.744057716	3.006822318	decision	2.066485	right	B
4.294290354	1.01622142	loss	NaN	n/a	n/a
11.37727993	3.006165746	decision	2.567244662	left	B
14.92732661	1.000076977	win	NaN	n/a	n/a
21.977221	3.007015215	decision	2.066136639	left	B
25.52770571	1.015904152	loss	NaN	n/a	n/a
32.59368386	3.090183499	decision	3.083531437	right	B
36.22709565	1.000217046	loss	NaN	n/a	n/a
39.04398614	3.006300079	decision	2.832975765	right	B
42.59412671	1.01622625	loss	NaN	n/a	n/a
45.41033195	3.006795753	decision	2.065593268	right	B
48.96079371	1.016282398	win	NaN	n/a	n/a
51.82720245	3.006006659	decision	2.31714844	right	B
55.37716129	1.016663361	win	NaN	n/a	n/a
60.34367398	3.006514106	decision	2.316241615	left	B
63.89365395	1.000155766	loss	NaN	n/a	n/a
68.827258	3.006856732	decision	2.317501933	right	B
72.37678395	1.000052828	win	NaN	n/a	n/a
75.24373939	3.007055967	decision	2.066985203	right	B
78.79379966	1.01665189	win	NaN	n/a	n/a
83.72709399	3.006768283	decision	2.066313838	left	B
87.27702476	1.016739433	loss	NaN	n/a	n/a
94.36043877	3.00688873	decision	2.31654711	left	B
97.91057903	1.016578837	loss	NaN	n/a	n/a
104.9766197	3.007942265	decision	2.066705669	right	B
108.5270301	1.016412203	win	NaN	n/a	n/a
115.5936965	3.007100645	decision	2.317613626	left	B
119.1438628	1.016380507	win	NaN	n/a	n/a
124.0936321	3.006345662	decision	2.566101169	right	B
127.6432607	0.999997585	win	NaN	n/a	n/a
130.5100984	3.007276033	decision	2.315825333	right	B
134.0604017	1.016478313	win	NaN	n/a	n/a
136.8768538	3.006367396	decision	2.066081698	right	B
140.4268625	1.016601477	loss	NaN	n/a	n/a
143.3101112	3.007092192	decision	2.065815145	right	B
146.8598877	1.000220065	loss	NaN	n/a	n/a
156.010305	3.006569953	decision	1.809864408	left	B
159.559972	1.000041055	loss	NaN	n/a	n/a
164.5434544	3.006438638	decision	1.810147866	left	B
168.0936418	1.016362998	win	NaN	n/a	n/a
170.9768114	3.006422639	decision	1.8101533	left	B
174.5265586	1.016629853	loss	NaN	n/a	n/a
181.6101374	3.006080014	decision	1.810052474	right	B
185.1600223	1.016569781	loss	NaN	n/a	n/a
188.0267746	3.007385914	decision	1.816207654	left	B
191.5769613	1.015993506	win	NaN	n/a	n/a
194.4100313	3.006990461	decision	2.316848983	right	B
197.9602534	1.016148065	win	NaN	n/a	n/a
205.0433854	3.00630189	decision	2.066103131	left	B
208.5929301	1.000355002	loss	NaN	n/a	n/a
215.6265644	3.007152265	decision	1.810210958	left	B
219.1767113	1.016261871	loss	NaN	n/a	n/a
224.1262911	3.006385509	decision	2.56639791	right	B
227.6766662	1.016362394	loss	NaN	n/a	n/a
230.5433047	3.007823629	decision	1.810836437	left	B
234.0932049	1.016359979	loss	NaN	n/a	n/a
241.1598234	3.006623988	decision	1.049660439	left	B
244.7095525	1.000087845	loss	NaN	n/a	n/a
247.5595804	3.007644015	decision	1.299910917	left	B
251.1093506	1.000207688	win	NaN	n/a	n/a
253.9597507	3.006341435	decision	1.300623638	left	B
257.5094397	1.00030308	loss	NaN	n/a	n/a
260.3264075	3.00634385	decision	1.300201923	right	B
263.8765073	1.016301718	win	NaN	n/a	n/a
268.8427416	3.006703079	decision	1.300765518	right	B
272.3927394	1.01677445	win	NaN	n/a	n/a
275.24335	3.006515616	decision	1.810025004	right	B
278.7932167	1.016259154	win	NaN	n/a	n/a
283.7263704	3.008025582	decision	2.065976345	left	B
287.2762628	1.016328886	win	NaN	n/a	n/a
294.3763408	3.006513804	decision	2.066181618	left	B
297.926056	1.000126485	win	NaN	n/a	n/a
304.9928393	3.007022158	decision	2.066524847	right	B
308.5424446	1.000156672	win	NaN	n/a	n/a
311.4094834	3.0069968	decision	2.065873104	right	B
314.9594069	1.000111391	loss	NaN	n/a	n/a
317.7931624	3.008075391	decision	1.815986684	right	B
321.3430865	1.016231684	win	NaN	n/a	n/a
326.3264337	3.006601347	decision	2.316184863	left	B
