Trial	Onset	Endowment	Response Time	Duration	L_Option	R_Option	Response
1	6.541131	25	0.0038329996	0.517002	8.75	0	3.0
2	15.090249	17	0.0035220003	0.5159029	4.25	0	2.0
3	20.139559	17	0.0034529008	0.5175733	5.95	0	3.0
4	--	15	6.9986124	7.516954	0.3	0.5	2.0
5	--	15	14.831379	15.3489	0.5	0.7	2.0
6	--	21	21.297405	21.813967	0.5	0.9	3.0
7	47.98547	25	0.0034663007	0.5167483	6.25	0	3.0
8	--	19	6.866407	7.3842273	0.6	1	3.0
9	--	19	14.998771	15.5159235	0.6	1.4	2.0
10	--	15	26.180882	26.699013	0.6	1.8	2.0
11	--	19	38.046116	38.56307	0.1	0.9	2.0
12	91.080795	25	0.0037336005	0.5174657	3.75	0	3.0
13	--	15	12.198802	12.717235	0.3	2.7	2.0
14	--	17	22.615711	23.131542	0.5	0.9	3.0
15	--	23	29.463573	29.98126	0.2	0.6	3.0
16	--	15	999.0	41.545765	0.3	0.9	999.0
17	138.65958	19	0.0035691997	0.5158113	0.95	0	3.0
18	--	23	8.0590725	8.564475	0.2	1.4	2.0
19	--	25	15.108596	15.614067	0.3	0.5	3.0
20	--	21	21.430044	21.947079	0.4	2.8	2.0
21	--	25	32.485416	32.99516	0.4	2	3.0
22	--	21	46.4447	46.960804	0.1	0.7	2.0
23	--	23	52.99342	53.510307	0.2	1	2.0
24	--	17	62.508587	63.02512	0.3	2.7	2.0
25	--	15	74.49168	75.00776	0.5	0.7	3.0
26	--	23	83.906555	84.42267	0.7	0.9	3.0
27	227.61584	23	1.4824252	1.999414	1.15	0	2.0
28	--	19	10.381604	10.897883	0.3	0.5	2.0
29	--	19	17.59765	18.114792	1.4	1.8	2.0
30	--	15	27.879608	28.396229	1.2	2.8	2.0
31	--	19	42.294834	42.81129	0.1	0.3	3.0
32	--	19	52.46013	52.977436	0.3	0.9	2.0
33	285.12573	17	0.8662354	1.3830693	7.65	0	3.0
34	296.0411	25	0.0035173	0.5162872	6.25	0	3.0
35	306.58997	21	0.3994748	0.915808	9.45	0	3.0
36	--	19	10.048274	10.564942	0.5	0.9	2.0
37	--	21	16.681026	17.19762	1.2	2.8	2.0
38	--	21	30.829319	31.345488	0.5	0.7	3.0
39	--	25	36.945766	37.462463	0.6	1.8	2.0
40	--	23	48.476925	48.993988	0.2	0.6	3.0
41	362.11673	23	0.3010421	0.8168767	10.35	0	3.0
42	372.46597	25	0.1993807	0.7164271	11.25	0	3.0
43	--	15	14.597601	15.114206	0.4	1.2	2.0
44	--	21	28.746178	29.263512	0.5	0.7	2.0
45	--	25	36.212124	36.72843	0.3	1.5	2.0
46	--	21	46.943913	47.46104	2.8	3.6	2.0
47	--	15	61.459236	61.97623	0.3	0.5	3.0
