TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,25,4,0.5,8.75,0,1.0,0.0,6.0237455,6.5409465,6.541131,3.0,0.0038329996,6.5449643,7.057633,0.517002,7.0582924,11.061321
2,2,3,17,2,2,4.25,0,1.0,1.0,13.073298,15.090098,15.090249,2.0,0.0035220003,15.093772,15.605755,0.5159029,15.606323,17.60941
3,3,3,17,2,0.5,5.95,0,1.0,2.0,19.622404,20.139414,20.139559,3.0,0.0034529008,20.143011,20.656755,0.5175733,20.657309,22.661217
4,4,2,15,2,0.5,0.3,0.5,1.0,3.0,24.671509,25.188713,--,2.0,6.9986124,27.138172,27.656115,7.516954,27.656647,29.65957
5,5,2,15,2,2,0.5,0.7,1.0,4.0,31.670813,33.687862,--,2.0,14.831379,34.970936,35.488087,15.3489,35.48862,37.492348
6,6,1,21,2,0.5,0.5,0.9,1.0,5.0,39.503258,40.020527,--,3.0,21.297405,41.436962,41.953156,21.813967,41.953697,43.957394
7,7,3,25,2,2,6.25,0,1.0,6.0,45.96931,47.985275,47.98547,3.0,0.0034663007,47.988934,48.501842,0.5167483,48.50235,50.505486
8,8,2,19,4,0.5,0.6,1,1.0,7.0,52.518723,53.035664,--,3.0,6.866407,54.851875,55.369244,7.3842273,55.369827,59.37269
9,9,1,19,4,0.5,0.6,1.4,1.0,8.0,61.38437,61.901115,--,2.0,14.998771,62.98424,63.50097,15.5159235,63.501526,67.504684
10,10,2,15,4,3.5,0.6,1.8,1.0,9.0,69.51671,73.03318,--,2.0,26.180882,74.16635,74.68409,26.699013,74.68461,78.687546
11,11,1,19,2,3.5,0.1,0.9,1.0,10.0,80.69861,84.21551,--,2.0,38.046116,86.031586,86.54812,38.56307,86.548676,88.551735
12,12,3,25,6,0.5,3.75,0,1.0,11.0,90.56372,91.08065,91.080795,3.0,0.0037336005,91.084526,91.59788,0.5174657,91.59839,97.60213
13,13,1,15,6,2,0.3,2.7,1.0,12.0,99.61293,101.62907,--,2.0,12.198802,103.279594,103.79758,12.717235,103.79817,109.80134
14,14,1,17,2,0.5,0.5,0.9,1.0,13.0,111.81177,112.32879,--,3.0,22.615711,113.6965,114.21191,23.131542,114.21249,116.216125
15,15,2,23,4,0.5,0.2,0.6,1.0,14.0,118.22762,118.74506,--,3.0,29.463573,120.544365,121.06167,29.98126,121.06219,125.06548
16,16,2,15,2,2,0.3,0.9,1.0,15.0,127.07688,129.09392,--,999.0,999.0,999.0,132.10916,41.545765,132.6268,134.62997
17,17,3,19,2,2,0.95,0,1.0,16.0,136.6423,138.65942,138.65958,3.0,0.0035691997,138.66315,139.175,0.5158113,139.17554,141.17947
18,18,1,23,4,3.5,0.2,1.4,1.0,17.0,143.19153,146.7081,--,2.0,8.0590725,146.71866,147.22365,8.564475,147.2242,151.2277
19,19,1,25,2,0.5,0.3,0.5,1.0,18.0,153.24042,153.75743,--,3.0,15.108596,153.76817,154.27321,15.614067,154.27379,156.27736
20,20,1,21,8,0.5,0.4,2.8,1.0,19.0,158.29,158.80656,--,2.0,21.430044,160.08963,160.60628,21.947079,160.6068,168.60982
