TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
1,1,2,19,4,2,9,4,1.0,0.0,5.993077,6.0096636,6.0099025,8.026287,8.026466,3.0,1.266985,9.293451,9.810061,1.7841157,9.810751,13.814395,--
2,2,1,19,2,3.5,6,4,1.0,1.0,15.809735,15.825567,15.825731,19.341816,19.341953,2.0,1.2996702,20.641624,21.158478,1.8169034,21.158993,23.162027,--
3,3,1,15,8,0.5,1,7,1.0,2.0,25.15777,25.174307,25.174538,25.691614,25.69176,3.0,1.1492015,26.84096,27.35839,1.6670517,27.35896,35.361588,--
4,4,2,23,2,2,10,1,1.0,3.0,37.356026,37.372692,37.372864,39.389084,39.38923,3.0,1.6504903,41.03972,41.5555,2.1666822,41.556046,43.559032,--
5,5,3,21,2,0.5,9,4,1.0,4.0,45.55545,45.572193,45.57226,46.088245,46.088387,3.0,1.5501924,47.638577,48.15528,2.0672715,48.1558,50.158504,43.561172
6,6,2,21,6,0.5,7,4,1.0,5.0,52.1546,52.171165,52.171318,52.687572,52.68772,3.0,1.5336223,54.221344,54.738087,2.050734,54.73859,60.74091,--
7,7,2,25,4,0.5,8,2,1.0,6.0,62.736702,62.75341,62.75357,63.270096,63.27023,3.0,1.5496927,64.81992,65.33594,2.066076,65.33644,69.33995,--
8,8,3,25,2,2,8,5,1.0,7.0,71.33583,71.3526,71.35266,73.36839,73.36855,2.0,2.1666648,75.53522,76.0967,2.7285826,76.097916,78.105515,69.342224
9,9,2,19,6,3.5,9,4,1.0,8.0,80.10133,80.11788,80.118034,83.63452,83.63467,3.0,2.1165736,85.751236,86.268,2.6337106,86.26851,92.27234,--
10,10,1,15,2,0.5,1,7,1.0,9.0,94.26662,94.28318,94.283356,94.7989,94.79904,3.0,2.0172403,96.81628,97.33298,2.5343134,97.33349,99.33674,--
11,11,3,15,2,0.5,1,7,1.0,10.0,101.33238,101.349205,101.349266,101.86493,101.8651,3.0,0.5012451,102.36634,102.8818,1.0170705,102.8824,104.886055,99.339325
12,12,3,25,2,3.5,11,2,1.0,11.0,106.881775,106.89828,106.89835,110.41474,110.41489,3.0,0.7997501,111.21463,111.73157,1.3170494,111.73206,113.7354,104.887856
13,13,2,15,6,2,7,1,1.0,12.0,115.73094,115.74762,115.74782,117.76348,117.76362,3.0,0.9168628,118.68048,119.19635,1.4331205,119.19687,125.19968,--
14,14,3,25,2,2,8,5,1.0,13.0,127.19607,127.2127,127.21279,129.2298,129.22993,3.0,1.232791,130.46272,130.97899,1.749451,130.97954,132.98247,125.2018
15,15,2,23,4,0.5,4,1,1.0,14.0,134.97847,134.99503,134.99521,135.5122,135.51234,3.0,1.3495162,136.86186,137.37825,1.8662658,137.37881,141.3828,--
16,16,3,25,2,0.5,8,2,1.0,15.0,143.37761,143.39435,143.39445,143.91101,143.91115,3.0,0.6169659,144.52812,145.04366,1.133479,145.04477,147.04817,141.385
17,17,2,25,4,0.5,2,5,1.0,16.0,149.04349,149.05997,149.06012,149.57755,149.57768,3.0,1.8156867,151.39337,151.90959,2.3322935,151.91011,155.91338,--
18,18,2,21,2,3.5,4,1,1.0,17.0,157.90907,157.92586,157.92604,161.44264,161.44278,3.0,1.2661742,162.70895,163.22644,1.7840229,163.22694,165.22957,--
19,19,3,23,4,2,10,4,1.0,18.0,167.22484,167.24158,167.24165,169.25795,169.25809,3.0,0.9334274,170.19151,170.70828,1.4505988,170.70883,174.71178,165.23145
20,20,1,17,4,0.5,3,5,1.0,19.0,176.70734,176.72363,176.7238,177.23988,177.24002,3.0,0.9168519,178.15688,178.6743,1.4346614,178.67482,182.67833,--
21,21,2,19,4,0.5,6,1,1.0,20.0,184.6727,184.6893,184.68947,185.20627,185.2064,3.0,1.0826719,186.28908,186.80655,1.6005263,186.80708,190.81024,--
22,22,3,19,8,2,1,9,1.0,21.0,192.80537,192.82178,192.82184,194.83789,194.83804,3.0,1.2837439,196.12178,196.6379,1.8002197,196.6384,204.64171,190.81194
23,23,2,17,6,3.5,5,8,1.0,22.0,206.63661,206.65343,206.6536,210.17043,210.17056,2.0,1.0993001,211.26987,211.78596,1.6157906,211.78648,217.78954,--
24,24,1,17,2,0.5,8,5,1.0,23.0,219.7853,219.80197,219.80212,220.31828,220.31842,2.0,0.966983,221.28542,221.80167,1.4836106,221.80219,223.80518,--
25,25,1,19,4,2,1,4,1.0,24.0,225.8008,225.81747,225.81764,227.8339,227.83405,3.0,1.8671615,229.7012,230.21765,2.3839827,230.21815,234.22041,--
26,26,1,19,6,3.5,1,6,1.0,25.0,236.21652,236.23302,236.2332,239.74976,239.7499,3.0,1.0830374,240.83293,241.34933,1.5998183,241.34984,247.35349,--
27,27,1,23,2,2,4,10,1.0,26.0,249.34863,249.3656,249.36581,251.3825,251.38268,3.0,0.9989916,252.38167,252.8975,1.5152082,252.89803,254.90144,--
28,28,3,17,2,0.5,8,1,1.0,27.0,256.89792,256.91443,256.9145,257.4307,257.43082,3.0,1.6503041,259.08112,259.59735,2.1668882,259.59787,261.60184,254.90283
29,29,1,15,2,0.5,3,5,1.0,28.0,263.5969,263.61374,263.61392,264.13055,264.13068,3.0,1.8330148,265.96368,266.4804,2.3501046,266.48093,268.48444,--
30,30,3,21,2,2,4,1,1.0,29.0,270.4796,270.49612,270.49622,272.51297,272.51312,3.0,0.2662794,272.7794,273.2965,0.7837528,273.297,275.30035,268.4861
31,31,1,25,4,0.5,8,11,1.0,30.0,277.29535,277.31195,277.31213,277.82907,277.8292,3.0,1.5829861,279.4122,279.92776,2.0989418,279.92828,283.93195,--
32,32,3,23,2,0.5,1,4,1.0,31.0,285.9281,285.9447,285.94476,286.46173,286.46188,3.0,0.5828629,287.04474,287.5607,1.0991927,287.5612,289.56467,283.93365
33,33,1,23,2,0.5,4,10,1.0,32.0,291.56033,291.5768,291.577,292.09335,292.0935,3.0,1.9171016,294.0106,294.52713,2.434009,294.52765,296.53094,--
34,34,2,15,2,0.5,7,5,1.0,33.0,298.5262,298.5429,298.54306,299.05966,299.0598,2.0,2.0162427,301.07605,301.59216,2.5327969,301.59274,303.59564,--
35,35,3,17,8,0.5,3,1,1.0,34.0,305.59222,305.60907,305.60913,306.12524,306.12537,3.0,0.4004974,306.52588,307.04245,0.9174409,307.04297,315.04654,303.59818
36,36,1,23,4,0.5,1,7,1.0,35.0,317.04077,317.05734,317.05753,317.57382,317.57397,2.0,2.150439,319.7244,320.24036,2.6667564,320.24084,324.24362,--
