C:\Users\tuj55142\Documents\GitHub\istart\Mock_Scan\Social\USE THIS COPY\EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1.edat2
ExperimentName	Subject	Session	AmtWon	Clock.Information	DataFile.Basename	Display.RefreshRate	EasyFinger	EasyKey	ExperimentVersion	Group	HardFinger	HardKey	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Amount	Choice	Completed	Decision.RT	Probability	Procedure	Running	TapSpeed	Trials	Trials.Cycle	Trials.Sample	Winnings
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	1	5.30	0	1	2570	12	Lose	Trials	0.1622333	1	1	1	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	2	2.48	0	1	1662	50	Lose	Trials	0.1472333	2	1	2	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	3	4.99	1	1	1807	50	Lose	Trials	0.19865	3	1	3	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	4	5.62	1	1	1491	88	Win	Trials	0.19264	4	1	4	5.62
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	5	3.10	0	1	1644	12	Lose	Trials	0.1572333	5	1	5	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	6	3.42	0	1	2010	88	Win	Trials	0.1666667	6	1	6	1.75
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	7	4.67	0	1	2647	50	Lose	Trials	0.1511333	7	1	7	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	8	3.10	0	1	2908	88	Win	Trials	0.16	8	1	8	1.75
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	9	3.73	0	1	2957	50	Win	Trials	0.1566667	9	1	9	1.75
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	10	4.36	0	1	2152	12	Win	Trials	0.16	10	1	10	1.75
