TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,1,0.75,1.0,0.0,4.0781794,2.0,4.6700716,0.59189224,9.0,6.593157,7.6373353,3.559156,7.637737,8.402954
2,2,1,1,1,1,0.75,1.0,1.0,8.411117,3.0,9.038918,0.62780106,1.0,10.926541,11.954525,3.5434082,11.954889,12.718177
3,3,1,1,1,1,0.75,1.0,2.0,12.722151,2.0,13.187611,0.4654602,8.0,15.2378,16.253496,3.5313458,16.253845,17.004585
4,4,1,1,3,1,0.75,1.0,3.0,17.015104,3.0,17.404402,0.38929847,1.0,19.530918,20.554806,3.5397022,20.55517,21.320095
5,5,1,1,3,2,0.75,1.0,4.0,21.32499,3.0,22.057907,0.7329187,5.0,23.838795,24.853958,3.5289702,24.854292,25.604376
6,6,1,1,3,1,0.75,1.0,5.0,25.609266,3.0,25.935333,0.32606745,3.0,28.128683,29.155977,3.5467105,29.156342,29.922945
7,7,1,1,2,2,0.75,1.0,6.0,29.930252,3.0,30.576849,0.6465978,5.0,32.441986,33.455437,3.5251868,33.455807,34.221794
8,8,1,1,2,1,12,1.0,7.0,34.22633,3.0,34.841,0.6146692,1.0,36.75608,37.77129,3.5449584,37.77165,49.773735
﻿TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,1,0.75,1.0,0.0,4.0723763,2.0,4.6275973,0.555221,6.0,6.586758,7.6073437,3.534968,7.607792,8.361424
2,2,1,1,1,1,0.75,1.0,1.0,8.367095,3.0,8.880266,0.5131716,2.0,10.881337,11.895756,3.5286613,11.896128,12.646996
3,3,1,1,1,1,0.75,1.0,2.0,12.652039,3.0,13.015047,0.36300907,4.0,15.166381,16.178122,3.5260842,16.178488,16.939962
4,4,1,1,3,1,0.75,1.0,3.0,16.9488,2.0,17.482212,0.53341335,8.0,19.46402,20.480333,3.531534,20.480846,21.231125
5,5,1,1,3,2,0.75,1.0,4.0,21.235563,3.0,21.617111,0.38154688,5.0,23.75036,24.773846,3.538281,24.774206,25.531393
6,6,1,1,3,1,0.75,1.0,5.0,25.535303,2.0,26.514366,0.97906315,8.0,28.053816,29.074715,3.5394106,29.075048,29.83282
7,7,1,1,2,2,0.75,1.0,6.0,29.842638,3.0,30.519571,0.67693305,5.0,32.353416,33.375008,3.5323684,33.37535,34.132835
8,8,1,1,2,1,12,1.0,7.0,34.137794,3.0,36.263966,2.126171,3.0,36.6563,37.673244,3.5354528,37.673615,49.684586
