C:\Users\tuj55142\Documents\GitHub\istart\Mock_Scan\Monetary\EEfRTTextCuesV2_Win1_v2_815-1240-1.edat2
ExperimentName	Subject	Session	AmtWon	Clock.Information	DataFile.Basename	Display.ColorDepth	Display.FlippingEnabled	Display.RefreshRate	EasyKey	ExperimentVersion	Group	HardKey	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Amount	Choice	Completed	Decision.RT	Practice	Practice.Cycle	Practice.Sample	Probability	Procedure	Running	TapSpeed	Trials	Trials.Cycle	Trials.Sample	Winnings
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	1					1	1	1		WinPractice	Practice					
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	2					2	1	2		LosePractice	Practice					
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	3					3	1	3		LosePractice	Practice					
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	4					4	1	4		WinPractice	Practice					
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	5	3.04	0	1	2227				12	Lose	Trials	0.1661333	1	1	1	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	6	1.42	0	1	1007				50	Lose	Trials	0.1616667	2	1	2	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	7	2.86	0	1	98				50	Lose	Trials	0.1967	3	1	3	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	8	3.22	0	1	174				88	Win	Trials	0.1867	4	1	4	1
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	9	1.78	1	0	1172				12	Lose	Trials	0.2441628	5	1	5	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	10	1.96	0	1	1094				88	Win	Trials	0.1622333	6	1	6	1
