C:\Users\tuj55142\Documents\GitHub\istart\Mock_Scan\Monetary\EEfRTTextCuesV2_Win1_v2_815-1242-1.edat2
ExperimentName	Subject	Session	AmtWon	Clock.Information	DataFile.Basename	Display.RefreshRate	EasyKey	ExperimentVersion	Group	HardKey	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Amount	Choice	Completed	Decision.RT	Probability	Procedure	Running	TapSpeed	Trials	Trials.Cycle	Trials.Sample	Winnings
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	1	3.04	0	1	1251	12	Lose	Trials	0.1833333	1	1	1	0
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	2	1.42	0	1	938	50	Lose	Trials	0.1766667	2	1	2	0
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	3	2.86	0	1	1469	50	Lose	Trials	0.1855333	3	1	3	0
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	4	3.22	1	1	4617	88	Win	Trials	0.20797	4	1	4	3.22
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	5	1.78	0	1	1104	12	Lose	Trials	0.1728	5	1	5	0
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	6	1.96	0	1	961	88	Win	Trials	0.1744667	6	1	6	1
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	7	2.68	0	1	934	50	Lose	Trials	0.1717	7	1	7	0
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	8	1.78	0	1	1175	88	Win	Trials	0.1711	8	1	8	1
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	9	2.14	0	1	824	50	Win	Trials	0.1828	9	1	9	1
EEfRTTextCuesV2_Win1_v2_815	1242	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">25773535731020</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-11T14:47:49Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1242-1	60.010	7	1.0.0.30	1	9	-562284736	Professional	2.0.10.356	2.0.10.356	06-11-2021	6/11/2021 2:47:49 PM	10:47:49	2.0.10.252	10	2.50	0	1	1232	12	Win	Trials	0.1872333	10	1	10	1
