LotisLeft,Lot_per,Lot_mon,Lot_color,Sure_mon,dist,response,RT
0,10,13,blue,5,wide,['f'],2.047730899997987
1,90,13,blue,5,wide,['f'],4.253505500033498
0,20,13,blue,5,wide,['f'],2.1557457000017166
0,100,13,blue,5,wide,['j'],1.6094493999844417
0,100,13,blue,5,wide,['j'],1.1648708999855444
0,20,13,blue,5,wide,['f'],1.5465825999854133
0,90,13,blue,5,wide,['j'],1.4949014999438077
1,10,13,blue,5,wide,['j'],1.8595158000243828
1,10,13,blue,5,wide,['j'],1.4966235000174493
1,90,13,blue,5,wide,['f'],1.1343977999640629
0,10,13,blue,5,wide,['f'],1.3318708000006154
1,100,13,blue,5,wide,['f'],0.9054191999603063
1,100,13,blue,5,wide,['f'],1.0794130000285804
1,0,13,blue,5,wide,['j'],1.1411036999197677
1,0,13,blue,5,wide,['j'],0.9549981000600383
1,80,13,blue,5,wide,['f'],1.5036700000055134
0,90,13,blue,5,wide,['j'],1.1642973999259993
0,0,13,blue,5,wide,['f'],1.3305567998904735
0,80,13,blue,5,wide,['j'],1.446539800032042
1,0,13,blue,5,wide,['j'],0.7882247000234202
0,80,13,green,5,Skew,['j'],1.0735433000372723
0,90,13,green,5,Skew,['j'],1.007339800009504
0,80,13,green,5,Skew,['j'],0.9330475999740884
1,100,13,green,5,Skew,['f'],0.7865697999950498
1,80,13,green,5,Skew,['f'],0.7035994000034407
0,100,13,green,5,Skew,['j'],0.6205221000127494
1,90,13,green,5,Skew,['f'],0.6738889999687672
1,80,13,green,5,Skew,['f'],0.6866748000029474
0,70,13,green,5,Skew,['j'],0.9156515999929979
1,80,13,green,5,Skew,['f'],1.4014794999966398
0,70,13,green,5,Skew,['j'],1.2231341000879183
1,80,13,green,5,Skew,['f'],0.7493857000954449
1,90,13,green,5,Skew,['f'],0.683895800029859
1,70,13,green,5,Skew,['f'],0.705565300071612
0,70,13,green,5,Skew,['j'],0.8634840999729931
0,80,13,green,5,Skew,['j'],0.6410115999169648
1,90,13,green,5,Skew,['f'],0.8713540000608191
0,60,13,green,5,Skew,['f'],1.1797448999714106
1,80,13,green,5,Skew,['f'],1.248252399964258
0,60,13,green,5,Skew,['f'],1.3088369999313727
1,30,13,red,5,Narrow,['j'],1.5223924999590963
0,50,13,red,5,Narrow,['f'],1.8076263000257313
0,60,13,red,5,Narrow,['j'],1.3324543999042362
0,70,13,red,5,Narrow,['j'],1.0494158999063075
1,60,13,red,5,Narrow,['j'],1.3186641000211239
0,70,13,red,5,Narrow,['j'],0.7479879000457004
1,60,13,red,5,Narrow,['j'],1.194119399995543
1,50,13,red,5,Narrow,['j'],1.0561779000563547
0,50,13,red,5,Narrow,['f'],1.3100040999706835
0,50,13,red,5,Narrow,['f'],1.1398076999466866
0,40,13,red,5,Narrow,['f'],1.183873699977994
1,50,13,red,5,Narrow,['j'],1.3330218999180943
0,40,13,red,5,Narrow,['f'],1.1475974000059068
1,50,13,red,5,Narrow,['j'],1.1922712000086904
1,50,13,red,5,Narrow,['j'],0.7904440999263898
1,50,13,red,5,Narrow,['j'],0.8673099000006914
1,30,13,red,5,Narrow,['j'],0.7529816000023857
0,40,13,red,5,Narrow,['f'],0.9492730000056326
0,40,13,red,5,Narrow,['f'],0.8585782999871299
1,60,13,red,5,Narrow,['f'],1.7203273000195622
